,head,tail,label
0,Drug:0,Protein:0,0
1,Drug:2,Protein:0,0
2,Drug:3,Protein:2,0
3,Drug:5,Protein:4,0
4,Drug:12,Protein:11,0
5,Drug:15,Protein:14,0
6,Drug:17,Protein:16,1
7,Drug:19,Protein:18,0
8,Drug:22,Protein:21,0
9,Drug:26,Protein:25,0
10,Drug:28,Protein:27,1
11,Drug:32,Protein:31,1
12,Drug:33,Protein:32,0
13,Drug:44,Protein:41,0
14,Drug:47,Protein:44,0
15,Drug:48,Protein:45,0
16,Drug:52,Protein:46,1
17,Drug:57,Protein:51,1
18,Drug:58,Protein:52,0
19,Drug:61,Protein:55,1
20,Drug:63,Protein:57,0
21,Drug:66,Protein:59,0
22,Drug:71,Protein:62,0
23,Drug:74,Protein:52,0
24,Drug:79,Protein:69,1
25,Drug:85,Protein:72,0
26,Drug:91,Protein:0,1
27,Drug:95,Protein:79,0
28,Drug:97,Protein:81,1
29,Drug:99,Protein:52,0
30,Drug:107,Protein:87,1
31,Drug:108,Protein:0,0
32,Drug:110,Protein:72,1
33,Drug:121,Protein:94,1
34,Drug:122,Protein:95,1
35,Drug:123,Protein:0,0
36,Drug:126,Protein:98,1
37,Drug:136,Protein:18,0
38,Drug:139,Protein:106,1
39,Drug:142,Protein:107,1
40,Drug:144,Protein:108,1
41,Drug:145,Protein:77,0
42,Drug:149,Protein:18,0
43,Drug:150,Protein:110,0
44,Drug:151,Protein:111,0
45,Drug:166,Protein:120,0
46,Drug:175,Protein:52,0
47,Drug:176,Protein:126,1
48,Drug:177,Protein:22,1
49,Drug:178,Protein:127,0
50,Drug:181,Protein:130,1
51,Drug:182,Protein:106,1
52,Drug:184,Protein:18,0
53,Drug:188,Protein:134,1
54,Drug:189,Protein:135,1
55,Drug:191,Protein:18,0
56,Drug:193,Protein:135,1
57,Drug:199,Protein:140,1
58,Drug:200,Protein:141,0
59,Drug:201,Protein:142,0
60,Drug:213,Protein:148,1
61,Drug:216,Protein:150,0
62,Drug:218,Protein:152,0
63,Drug:219,Protein:153,1
64,Drug:228,Protein:160,1
65,Drug:234,Protein:48,0
66,Drug:238,Protein:168,1
67,Drug:241,Protein:171,0
68,Drug:242,Protein:172,1
69,Drug:243,Protein:173,1
70,Drug:252,Protein:177,1
71,Drug:255,Protein:61,1
72,Drug:258,Protein:77,0
73,Drug:259,Protein:52,0
74,Drug:268,Protein:186,0
75,Drug:270,Protein:188,0
76,Drug:275,Protein:191,1
77,Drug:279,Protein:193,1
78,Drug:280,Protein:194,1
79,Drug:285,Protein:196,0
80,Drug:286,Protein:197,0
81,Drug:291,Protein:200,0
82,Drug:292,Protein:201,0
83,Drug:293,Protein:202,0
84,Drug:302,Protein:32,0
85,Drug:306,Protein:209,1
86,Drug:311,Protein:211,1
87,Drug:312,Protein:77,0
88,Drug:314,Protein:158,1
89,Drug:320,Protein:182,0
90,Drug:321,Protein:0,0
