,head,tail,label
0,Drug:0,Protein:0,0
1,Drug:1,Protein:1,0
2,Drug:2,Protein:0,0
3,Drug:3,Protein:2,0
4,Drug:4,Protein:3,0
5,Drug:5,Protein:4,0
6,Drug:6,Protein:5,1
7,Drug:7,Protein:6,0
8,Drug:8,Protein:7,0
9,Drug:9,Protein:8,1
10,Drug:10,Protein:9,1
11,Drug:11,Protein:10,0
12,Drug:12,Protein:11,0
13,Drug:13,Protein:12,1
14,Drug:14,Protein:13,0
15,Drug:15,Protein:14,0
16,Drug:16,Protein:15,1
17,Drug:17,Protein:16,1
18,Drug:18,Protein:17,0
19,Drug:19,Protein:18,0
20,Drug:20,Protein:19,1
21,Drug:21,Protein:20,1
22,Drug:22,Protein:21,0
23,Drug:23,Protein:22,1
24,Drug:24,Protein:23,0
25,Drug:25,Protein:24,0
26,Drug:26,Protein:25,0
27,Drug:27,Protein:26,0
28,Drug:28,Protein:27,1
29,Drug:29,Protein:28,1
30,Drug:30,Protein:29,0
31,Drug:31,Protein:30,1
32,Drug:32,Protein:31,1
33,Drug:33,Protein:32,0
34,Drug:34,Protein:25,0
35,Drug:35,Protein:33,0
36,Drug:36,Protein:34,1
37,Drug:37,Protein:35,1
38,Drug:38,Protein:36,0
39,Drug:39,Protein:37,0
40,Drug:40,Protein:38,1
41,Drug:41,Protein:39,1
42,Drug:42,Protein:17,0
43,Drug:43,Protein:40,1
44,Drug:44,Protein:41,0
45,Drug:45,Protein:42,0
46,Drug:46,Protein:43,0
47,Drug:47,Protein:44,0
48,Drug:48,Protein:45,0
49,Drug:49,Protein:5,0
50,Drug:50,Protein:39,1
51,Drug:51,Protein:40,1
52,Drug:52,Protein:46,1
53,Drug:53,Protein:47,1
54,Drug:54,Protein:48,0
55,Drug:55,Protein:49,1
56,Drug:56,Protein:50,1
57,Drug:57,Protein:51,1
58,Drug:58,Protein:52,0
59,Drug:59,Protein:53,1
60,Drug:60,Protein:54,0
61,Drug:61,Protein:55,1
62,Drug:62,Protein:56,0
63,Drug:63,Protein:57,0
64,Drug:64,Protein:47,1
65,Drug:65,Protein:58,1
66,Drug:66,Protein:59,0
67,Drug:67,Protein:60,0
68,Drug:68,Protein:38,1
69,Drug:69,Protein:40,1
70,Drug:70,Protein:61,1
71,Drug:71,Protein:62,0
72,Drug:72,Protein:63,1
73,Drug:73,Protein:64,0
74,Drug:74,Protein:52,0
75,Drug:75,Protein:65,1
76,Drug:76,Protein:66,0
77,Drug:77,Protein:67,1
78,Drug:78,Protein:68,0
79,Drug:79,Protein:69,1
80,Drug:80,Protein:70,0
81,Drug:81,Protein:38,1
82,Drug:82,Protein:71,0
83,Drug:83,Protein:7,0
84,Drug:84,Protein:66,0
85,Drug:85,Protein:72,0
86,Drug:86,Protein:39,1
87,Drug:87,Protein:73,1
88,Drug:88,Protein:74,1
89,Drug:89,Protein:75,1
90,Drug:90,Protein:64,0
91,Drug:91,Protein:0,1
92,Drug:92,Protein:76,0
93,Drug:93,Protein:77,0
94,Drug:94,Protein:78,1
95,Drug:95,Protein:79,0
96,Drug:96,Protein:80,1
97,Drug:97,Protein:81,1
98,Drug:98,Protein:7,0
99,Drug:99,Protein:52,0
100,Drug:100,Protein:82,1
101,Drug:101,Protein:83,1
102,Drug:102,Protein:33,1
103,Drug:103,Protein:84,1
104,Drug:104,Protein:85,1
105,Drug:105,Protein:86,1
106,Drug:106,Protein:17,0
107,Drug:107,Protein:87,1
108,Drug:108,Protein:0,0
109,Drug:109,Protein:77,0
110,Drug:110,Protein:72,1
111,Drug:111,Protein:34,0
112,Drug:112,Protein:40,1
113,Drug:113,Protein:88,1
114,Drug:114,Protein:89,0
115,Drug:115,Protein:90,1
116,Drug:116,Protein:91,1
117,Drug:117,Protein:7,0
118,Drug:118,Protein:3,0
119,Drug:119,Protein:92,1
120,Drug:120,Protein:93,1
121,Drug:121,Protein:94,1
122,Drug:122,Protein:95,1
123,Drug:123,Protein:0,0
124,Drug:124,Protein:96,0
125,Drug:125,Protein:97,1
126,Drug:126,Protein:98,1
127,Drug:127,Protein:99,1
128,Drug:128,Protein:39,1
129,Drug:129,Protein:100,1
130,Drug:130,Protein:52,0
131,Drug:131,Protein:54,1
132,Drug:132,Protein:35,1
133,Drug:133,Protein:101,0
134,Drug:134,Protein:102,0
135,Drug:135,Protein:103,1
136,Drug:136,Protein:18,0
137,Drug:137,Protein:104,1
138,Drug:138,Protein:105,1
139,Drug:139,Protein:106,1
140,Drug:140,Protein:102,0
141,Drug:141,Protein:42,0
142,Drug:142,Protein:107,1
143,Drug:143,Protein:39,1
144,Drug:144,Protein:108,1
145,Drug:145,Protein:77,0
146,Drug:146,Protein:75,1
147,Drug:147,Protein:109,1
148,Drug:148,Protein:40,1
149,Drug:149,Protein:18,0
150,Drug:150,Protein:110,0
151,Drug:151,Protein:111,0
152,Drug:152,Protein:112,0
153,Drug:153,Protein:113,1
154,Drug:154,Protein:50,1
155,Drug:155,Protein:114,1
156,Drug:156,Protein:5,0
157,Drug:157,Protein:115,0
158,Drug:158,Protein:50,0
159,Drug:42,Protein:20,0
160,Drug:159,Protein:116,1
161,Drug:160,Protein:117,0
162,Drug:161,Protein:17,0
163,Drug:162,Protein:118,0
164,Drug:163,Protein:119,0
165,Drug:164,Protein:39,1
166,Drug:165,Protein:82,1
167,Drug:166,Protein:120,0
168,Drug:167,Protein:121,1
169,Drug:168,Protein:122,1
170,Drug:169,Protein:123,1
171,Drug:170,Protein:83,1
172,Drug:171,Protein:124,1
173,Drug:172,Protein:83,1
174,Drug:173,Protein:68,0
175,Drug:174,Protein:125,0
176,Drug:175,Protein:52,0
177,Drug:176,Protein:126,1
178,Drug:177,Protein:22,1
179,Drug:178,Protein:127,0
180,Drug:179,Protein:128,0
181,Drug:180,Protein:129,1
182,Drug:181,Protein:130,1
183,Drug:182,Protein:106,1
184,Drug:183,Protein:23,0
185,Drug:184,Protein:18,0
186,Drug:185,Protein:35,1
187,Drug:186,Protein:131,0
188,Drug:187,Protein:132,0
189,Drug:89,Protein:133,0
190,Drug:188,Protein:134,1
191,Drug:189,Protein:135,1
192,Drug:190,Protein:3,0
193,Drug:191,Protein:18,0
194,Drug:192,Protein:3,0
195,Drug:193,Protein:135,1
196,Drug:194,Protein:136,1
197,Drug:195,Protein:137,0
198,Drug:196,Protein:138,0
199,Drug:197,Protein:139,1
200,Drug:198,Protein:9,0
201,Drug:199,Protein:140,1
202,Drug:200,Protein:141,0
203,Drug:201,Protein:142,0
204,Drug:202,Protein:143,1
205,Drug:203,Protein:13,0
206,Drug:204,Protein:17,0
207,Drug:205,Protein:144,0
208,Drug:206,Protein:103,1
209,Drug:207,Protein:39,1
210,Drug:208,Protein:50,1
211,Drug:209,Protein:145,1
212,Drug:210,Protein:146,0
213,Drug:211,Protein:39,1
214,Drug:212,Protein:147,0
215,Drug:213,Protein:148,1
216,Drug:214,Protein:149,0
217,Drug:215,Protein:72,1
218,Drug:216,Protein:150,0
219,Drug:217,Protein:151,1
220,Drug:218,Protein:152,0
221,Drug:219,Protein:153,1
222,Drug:220,Protein:154,0
223,Drug:221,Protein:73,0
224,Drug:222,Protein:155,0
225,Drug:223,Protein:156,0
226,Drug:224,Protein:3,0
227,Drug:225,Protein:157,1
228,Drug:226,Protein:158,1
