,head,tail,label
0,Drug:0,Protein:0,0
1,Drug:1,Protein:1,0
2,Drug:2,Protein:0,0
3,Drug:3,Protein:2,0
4,Drug:4,Protein:3,0
5,Drug:5,Protein:4,0
6,Drug:6,Protein:5,1
7,Drug:7,Protein:6,0
8,Drug:8,Protein:7,0
9,Drug:9,Protein:8,1
10,Drug:11,Protein:10,0
11,Drug:12,Protein:11,0
12,Drug:13,Protein:12,1
13,Drug:14,Protein:13,0
14,Drug:15,Protein:14,0
15,Drug:16,Protein:15,1
16,Drug:17,Protein:16,1
17,Drug:18,Protein:17,0
18,Drug:20,Protein:19,1
19,Drug:21,Protein:20,1
20,Drug:22,Protein:21,0
21,Drug:23,Protein:22,1
22,Drug:24,Protein:23,0
23,Drug:25,Protein:24,0
24,Drug:26,Protein:25,0
25,Drug:27,Protein:26,0
26,Drug:28,Protein:27,1
27,Drug:29,Protein:28,1
28,Drug:30,Protein:29,0
29,Drug:32,Protein:31,1
30,Drug:33,Protein:32,0
31,Drug:34,Protein:25,0
32,Drug:35,Protein:33,0
33,Drug:36,Protein:34,1
34,Drug:37,Protein:35,1
35,Drug:39,Protein:37,0
36,Drug:40,Protein:38,1
37,Drug:41,Protein:39,1
38,Drug:42,Protein:17,0
39,Drug:43,Protein:40,1
40,Drug:44,Protein:41,0
41,Drug:45,Protein:42,0
42,Drug:46,Protein:43,0
43,Drug:47,Protein:44,0
44,Drug:48,Protein:45,0
45,Drug:49,Protein:5,0
46,Drug:50,Protein:39,1
47,Drug:51,Protein:40,1
48,Drug:52,Protein:46,1
49,Drug:53,Protein:47,1
50,Drug:54,Protein:48,0
51,Drug:55,Protein:49,1
52,Drug:56,Protein:50,1
53,Drug:57,Protein:51,1
54,Drug:58,Protein:52,0
55,Drug:59,Protein:53,1
56,Drug:60,Protein:54,0
57,Drug:61,Protein:55,1
58,Drug:62,Protein:56,0
59,Drug:63,Protein:57,0
60,Drug:64,Protein:47,1
61,Drug:66,Protein:59,0
62,Drug:67,Protein:60,0
63,Drug:68,Protein:38,1
64,Drug:69,Protein:40,1
65,Drug:70,Protein:61,1
66,Drug:71,Protein:62,0
67,Drug:72,Protein:63,1
68,Drug:74,Protein:52,0
69,Drug:75,Protein:65,1
70,Drug:76,Protein:66,0
71,Drug:77,Protein:67,1
72,Drug:78,Protein:68,0
73,Drug:79,Protein:69,1
74,Drug:80,Protein:70,0
75,Drug:81,Protein:38,1
76,Drug:82,Protein:71,0
77,Drug:83,Protein:7,0
78,Drug:84,Protein:66,0
79,Drug:85,Protein:72,0
80,Drug:86,Protein:39,1
81,Drug:88,Protein:74,1
82,Drug:89,Protein:75,1
83,Drug:91,Protein:0,1
84,Drug:92,Protein:76,0
85,Drug:93,Protein:77,0
86,Drug:94,Protein:78,1
87,Drug:95,Protein:79,0
88,Drug:96,Protein:80,1
89,Drug:97,Protein:81,1
90,Drug:98,Protein:7,0
91,Drug:99,Protein:52,0
92,Drug:100,Protein:82,1
93,Drug:101,Protein:83,1
94,Drug:102,Protein:33,1
95,Drug:104,Protein:85,1
96,Drug:105,Protein:86,1
97,Drug:106,Protein:17,0
98,Drug:108,Protein:0,0
99,Drug:109,Protein:77,0
100,Drug:110,Protein:72,1
101,Drug:111,Protein:34,0
102,Drug:112,Protein:40,1
103,Drug:115,Protein:90,1
104,Drug:117,Protein:7,0
105,Drug:118,Protein:3,0
106,Drug:119,Protein:92,1
107,Drug:120,Protein:93,1
108,Drug:121,Protein:94,1
109,Drug:123,Protein:0,0
110,Drug:124,Protein:96,0
111,Drug:126,Protein:98,1
112,Drug:127,Protein:99,1
113,Drug:128,Protein:39,1
114,Drug:130,Protein:52,0
115,Drug:131,Protein:54,1
116,Drug:132,Protein:35,1
117,Drug:133,Protein:101,0
118,Drug:134,Protein:102,0
119,Drug:135,Protein:103,1
120,Drug:137,Protein:104,1
121,Drug:138,Protein:105,1
122,Drug:139,Protein:106,1
123,Drug:140,Protein:102,0
124,Drug:141,Protein:42,0
125,Drug:143,Protein:39,1
126,Drug:144,Protein:108,1
127,Drug:145,Protein:77,0
128,Drug:146,Protein:75,1
129,Drug:147,Protein:109,1
130,Drug:148,Protein:40,1
131,Drug:150,Protein:110,0
132,Drug:151,Protein:111,0
133,Drug:152,Protein:112,0
134,Drug:153,Protein:113,1
135,Drug:154,Protein:50,1
136,Drug:155,Protein:114,1
137,Drug:156,Protein:5,0
138,Drug:157,Protein:115,0
139,Drug:158,Protein:50,0
140,Drug:42,Protein:20,0
141,Drug:159,Protein:116,1
142,Drug:160,Protein:117,0
143,Drug:161,Protein:17,0
144,Drug:162,Protein:118,0
145,Drug:163,Protein:119,0
146,Drug:164,Protein:39,1
147,Drug:165,Protein:82,1
148,Drug:166,Protein:120,0
149,Drug:168,Protein:122,1
150,Drug:169,Protein:123,1
151,Drug:170,Protein:83,1
152,Drug:171,Protein:124,1
153,Drug:172,Protein:83,1
154,Drug:173,Protein:68,0
155,Drug:175,Protein:52,0
156,Drug:177,Protein:22,1
157,Drug:178,Protein:127,0
158,Drug:179,Protein:128,0
159,Drug:180,Protein:129,1
160,Drug:182,Protein:106,1
161,Drug:183,Protein:23,0
162,Drug:185,Protein:35,1
163,Drug:186,Protein:131,0
164,Drug:187,Protein:132,0
165,Drug:89,Protein:133,0
166,Drug:188,Protein:134,1
167,Drug:190,Protein:3,0
168,Drug:192,Protein:3,0
169,Drug:194,Protein:136,1
170,Drug:195,Protein:137,0
171,Drug:196,Protein:138,0
172,Drug:197,Protein:139,1
173,Drug:199,Protein:140,1
174,Drug:201,Protein:142,0
175,Drug:203,Protein:13,0
176,Drug:204,Protein:17,0
177,Drug:205,Protein:144,0
178,Drug:206,Protein:103,1
179,Drug:207,Protein:39,1
180,Drug:208,Protein:50,1
181,Drug:209,Protein:145,1
182,Drug:211,Protein:39,1
183,Drug:212,Protein:147,0
184,Drug:213,Protein:148,1
185,Drug:214,Protein:149,0
186,Drug:215,Protein:72,1
187,Drug:216,Protein:150,0
188,Drug:217,Protein:151,1
189,Drug:218,Protein:152,0
190,Drug:219,Protein:153,1
191,Drug:220,Protein:154,0
192,Drug:222,Protein:155,0
193,Drug:223,Protein:156,0
194,Drug:224,Protein:3,0
195,Drug:226,Protein:158,1
196,Drug:227,Protein:159,0
197,Drug:228,Protein:160,1
198,Drug:229,Protein:161,1
199,Drug:230,Protein:162,0
200,Drug:231,Protein:50,1
201,Drug:232,Protein:163,0
202,Drug:233,Protein:164,1
203,Drug:234,Protein:48,0
204,Drug:236,Protein:166,1
205,Drug:237,Protein:167,1
206,Drug:238,Protein:168,1
207,Drug:240,Protein:170,1
208,Drug:241,Protein:171,0
209,Drug:242,Protein:172,1
210,Drug:243,Protein:173,1
211,Drug:244,Protein:174,0
212,Drug:245,Protein:7,0
213,Drug:246,Protein:175,0
214,Drug:248,Protein:176,1
215,Drug:249,Protein:43,0
216,Drug:250,Protein:3,0
217,Drug:251,Protein:77,0
218,Drug:252,Protein:177,1
219,Drug:253,Protein:178,1
220,Drug:254,Protein:179,1
221,Drug:255,Protein:61,1
222,Drug:257,Protein:180,1
223,Drug:258,Protein:77,0
224,Drug:259,Protein:52,0
225,Drug:260,Protein:181,0
226,Drug:261,Protein:182,0
227,Drug:262,Protein:40,1
228,Drug:263,Protein:3,0
