,head,tail,label
0,Drug:1428,Protein:97,1
1,Drug:2924,Protein:2154,0
2,Drug:12420,Protein:7,1
3,Drug:12026,Protein:2586,0
4,Drug:11175,Protein:369,1
5,Drug:2916,Protein:75,1
6,Drug:2897,Protein:321,0
7,Drug:834,Protein:62,0
8,Drug:4849,Protein:247,1
9,Drug:1909,Protein:806,1
10,Drug:9298,Protein:67,1
11,Drug:9769,Protein:141,1
12,Drug:349,Protein:46,1
13,Drug:6194,Protein:17,0
14,Drug:9193,Protein:397,1
15,Drug:9178,Protein:77,0
16,Drug:902,Protein:77,0
17,Drug:13,Protein:753,1
18,Drug:1986,Protein:210,1
19,Drug:5630,Protein:3,0
20,Drug:1891,Protein:169,1
21,Drug:14223,Protein:1876,1
22,Drug:6298,Protein:189,1
23,Drug:1714,Protein:91,0
24,Drug:4527,Protein:17,0
25,Drug:2505,Protein:2533,0
26,Drug:897,Protein:149,1
27,Drug:5770,Protein:3,0
28,Drug:4567,Protein:277,1
29,Drug:2571,Protein:685,1
30,Drug:6219,Protein:112,1
31,Drug:9497,Protein:39,1
32,Drug:1359,Protein:1382,0
33,Drug:553,Protein:17,0
34,Drug:5165,Protein:40,1
35,Drug:12993,Protein:37,0
36,Drug:152,Protein:344,0
37,Drug:3059,Protein:321,0
38,Drug:13583,Protein:7,0
39,Drug:2543,Protein:55,1
40,Drug:4644,Protein:214,0
41,Drug:1695,Protein:2431,0
42,Drug:10194,Protein:120,1
43,Drug:557,Protein:111,0
44,Drug:650,Protein:280,0
45,Drug:9399,Protein:42,0
46,Drug:115,Protein:90,1
47,Drug:7298,Protein:58,1
48,Drug:10089,Protein:42,0
49,Drug:11925,Protein:3,0
50,Drug:13888,Protein:176,1
51,Drug:2715,Protein:67,1
52,Drug:10162,Protein:55,1
53,Drug:4275,Protein:34,0
54,Drug:13270,Protein:18,0
55,Drug:1089,Protein:2312,1
56,Drug:145,Protein:41,0
57,Drug:2105,Protein:155,1
58,Drug:4759,Protein:641,0
59,Drug:13287,Protein:343,1
60,Drug:9891,Protein:86,0
61,Drug:6350,Protein:1238,0
62,Drug:10103,Protein:331,1
63,Drug:13979,Protein:18,0
64,Drug:5574,Protein:1909,0
65,Drug:12835,Protein:0,0
66,Drug:9613,Protein:503,1
67,Drug:12145,Protein:90,0
68,Drug:1866,Protein:398,0
69,Drug:13590,Protein:52,0
70,Drug:9133,Protein:64,1
71,Drug:13627,Protein:7,0
72,Drug:7806,Protein:518,0
73,Drug:1095,Protein:971,1
