,head,tail,label
0,Drug:5586,Protein:2107,1
1,Drug:6503,Protein:3085,1
2,Drug:1485,Protein:3554,1
3,Drug:3781,Protein:1740,1
4,Drug:5775,Protein:1647,1
5,Drug:123,Protein:2052,1
6,Drug:5595,Protein:2070,1
7,Drug:803,Protein:3478,1
8,Drug:404,Protein:1456,1
9,Drug:6137,Protein:3367,1
10,Drug:4171,Protein:2460,1
11,Drug:3371,Protein:2805,1
12,Drug:1583,Protein:4045,1
13,Drug:2917,Protein:2432,1
14,Drug:2240,Protein:2442,1
15,Drug:3367,Protein:2669,1
16,Drug:1585,Protein:216,1
17,Drug:1799,Protein:1249,1
18,Drug:6221,Protein:3667,1
19,Drug:3601,Protein:2609,1
20,Drug:6031,Protein:2511,1
21,Drug:3787,Protein:1406,1
22,Drug:1146,Protein:1740,1
23,Drug:5251,Protein:1740,1
24,Drug:2498,Protein:3409,1
25,Drug:3069,Protein:3234,1
26,Drug:6020,Protein:258,1
27,Drug:475,Protein:3859,1
28,Drug:3423,Protein:1138,1
29,Drug:3799,Protein:4112,1
30,Drug:4922,Protein:658,1
31,Drug:2421,Protein:3233,1
32,Drug:3799,Protein:379,1
33,Drug:4112,Protein:3727,1
34,Drug:5549,Protein:140,1
35,Drug:189,Protein:143,1
36,Drug:927,Protein:4093,1
37,Drug:6022,Protein:1782,1
38,Drug:3626,Protein:4204,1
39,Drug:2193,Protein:1332,1
40,Drug:3601,Protein:2224,1
41,Drug:3865,Protein:2554,1
42,Drug:4611,Protein:3793,1
43,Drug:4238,Protein:1262,1
44,Drug:4042,Protein:3761,1
45,Drug:2265,Protein:1108,1
46,Drug:1128,Protein:1095,1
47,Drug:6753,Protein:3341,1
48,Drug:3935,Protein:3338,1
49,Drug:6472,Protein:76,1
50,Drug:3058,Protein:1108,1
51,Drug:2918,Protein:1049,1
52,Drug:6371,Protein:3661,1
53,Drug:4975,Protein:1006,1
54,Drug:2595,Protein:2403,1
55,Drug:3802,Protein:3194,1
56,Drug:5,Protein:3075,1
57,Drug:5210,Protein:3810,1
58,Drug:809,Protein:2403,1
59,Drug:559,Protein:786,1
60,Drug:1818,Protein:3427,1
61,Drug:3226,Protein:1539,1
62,Drug:2498,Protein:953,1
63,Drug:2174,Protein:773,1
64,Drug:5683,Protein:1334,1
65,Drug:1374,Protein:3409,1
66,Drug:6097,Protein:3884,1
67,Drug:5595,Protein:354,1
68,Drug:3655,Protein:1167,1
69,Drug:1403,Protein:937,1
70,Drug:1259,Protein:3792,1
71,Drug:503,Protein:2564,1
72,Drug:3778,Protein:3764,1
73,Drug:2106,Protein:3081,1
74,Drug:3798,Protein:295,1
75,Drug:6067,Protein:28,1
76,Drug:4671,Protein:277,1
77,Drug:5376,Protein:1814,1
78,Drug:3495,Protein:259,1
79,Drug:3979,Protein:2205,1
80,Drug:1432,Protein:1380,1
