,head,tail,label
0,Drug:3357,Protein:3220,1
1,Drug:4871,Protein:3826,0
2,Drug:803,Protein:3346,1
3,Drug:1641,Protein:210,0
4,Drug:3470,Protein:718,0
5,Drug:6621,Protein:3733,0
6,Drug:4269,Protein:2221,1
7,Drug:1242,Protein:2012,0
8,Drug:1218,Protein:1176,0
9,Drug:6525,Protein:4449,1
10,Drug:1138,Protein:572,0
11,Drug:2222,Protein:1740,1
12,Drug:2177,Protein:2766,0
13,Drug:2493,Protein:3600,0
14,Drug:6168,Protein:4020,0
15,Drug:5570,Protein:3833,0
16,Drug:2264,Protein:2009,0
17,Drug:644,Protein:1275,0
18,Drug:341,Protein:3158,0
19,Drug:5648,Protein:4081,0
20,Drug:5703,Protein:2034,1
21,Drug:4741,Protein:4379,1
22,Drug:2359,Protein:1391,1
23,Drug:5629,Protein:1011,1
24,Drug:3127,Protein:4086,1
25,Drug:2563,Protein:4188,0
26,Drug:722,Protein:3813,0
27,Drug:4520,Protein:3379,1
28,Drug:5055,Protein:3189,0
29,Drug:1073,Protein:1562,1
30,Drug:1757,Protein:1517,0
31,Drug:655,Protein:3733,0
32,Drug:1932,Protein:1156,1
33,Drug:4351,Protein:1353,0
34,Drug:2221,Protein:3976,0
35,Drug:5390,Protein:4407,0
36,Drug:3880,Protein:3197,0
37,Drug:6075,Protein:2090,0
38,Drug:4052,Protein:4105,1
39,Drug:1130,Protein:3654,1
40,Drug:494,Protein:4209,1
41,Drug:3340,Protein:1882,0
42,Drug:2188,Protein:1487,1
43,Drug:5077,Protein:4290,1
44,Drug:6138,Protein:3122,0
45,Drug:4661,Protein:851,1
46,Drug:6247,Protein:118,1
47,Drug:2236,Protein:1740,1
48,Drug:4818,Protein:321,0
49,Drug:5400,Protein:2063,0
50,Drug:5642,Protein:1167,1
51,Drug:3901,Protein:2493,0
52,Drug:6093,Protein:1049,1
53,Drug:396,Protein:3913,0
54,Drug:2975,Protein:600,1
55,Drug:720,Protein:3556,0
56,Drug:283,Protein:528,0
57,Drug:5498,Protein:4446,0
58,Drug:212,Protein:2302,0
59,Drug:357,Protein:2059,0
60,Drug:307,Protein:3096,1
61,Drug:6313,Protein:4254,0
62,Drug:2095,Protein:786,1
63,Drug:3635,Protein:1284,1
64,Drug:4037,Protein:3998,0
65,Drug:4340,Protein:3070,0
66,Drug:5845,Protein:3362,0
67,Drug:3836,Protein:4250,0
68,Drug:3393,Protein:831,0
69,Drug:2399,Protein:893,1
70,Drug:5255,Protein:1271,1
71,Drug:6314,Protein:62,0
