,head,tail,label
0,Drug:4094,Protein:83,0
1,Drug:5837,Protein:1043,1
2,Drug:4799,Protein:1592,0
3,Drug:323,Protein:1603,0
4,Drug:3778,Protein:532,1
5,Drug:2334,Protein:2099,1
6,Drug:2511,Protein:3064,0
7,Drug:3041,Protein:1127,1
8,Drug:2989,Protein:1045,0
9,Drug:4211,Protein:2942,1
10,Drug:3081,Protein:3036,0
11,Drug:3783,Protein:2572,1
12,Drug:2202,Protein:2768,0
13,Drug:4353,Protein:1401,0
14,Drug:3528,Protein:3143,0
15,Drug:3436,Protein:4199,0
16,Drug:3967,Protein:2958,1
17,Drug:4858,Protein:2554,0
18,Drug:3346,Protein:1876,0
19,Drug:4862,Protein:3012,1
20,Drug:3133,Protein:4132,0
21,Drug:3683,Protein:2851,1
22,Drug:4489,Protein:1452,0
23,Drug:1713,Protein:3168,0
24,Drug:1970,Protein:2542,0
25,Drug:5398,Protein:75,1
26,Drug:4616,Protein:3985,0
27,Drug:5917,Protein:1058,0
28,Drug:4651,Protein:3378,1
29,Drug:2935,Protein:2371,1
30,Drug:976,Protein:2592,1
31,Drug:2737,Protein:2864,0
32,Drug:3547,Protein:1447,0
33,Drug:4911,Protein:2867,1
34,Drug:2160,Protein:4049,0
35,Drug:6480,Protein:1580,1
36,Drug:5620,Protein:871,1
37,Drug:2168,Protein:3309,0
38,Drug:6702,Protein:698,1
39,Drug:3587,Protein:1493,0
40,Drug:5080,Protein:12,0
41,Drug:5964,Protein:58,1
42,Drug:6351,Protein:1344,1
43,Drug:1125,Protein:3435,1
44,Drug:5259,Protein:209,1
45,Drug:1528,Protein:2244,1
46,Drug:5189,Protein:2932,0
47,Drug:4518,Protein:4389,0
48,Drug:801,Protein:3837,1
49,Drug:6067,Protein:1184,1
50,Drug:1444,Protein:265,1
51,Drug:2422,Protein:2027,0
52,Drug:2851,Protein:918,0
53,Drug:1875,Protein:2379,0
54,Drug:3350,Protein:3610,0
55,Drug:3248,Protein:546,0
56,Drug:3558,Protein:1794,0
57,Drug:2135,Protein:2090,1
58,Drug:2502,Protein:3727,1
59,Drug:2311,Protein:1259,0
60,Drug:5053,Protein:2336,1
61,Drug:1136,Protein:3952,0
62,Drug:4270,Protein:216,1
63,Drug:2840,Protein:851,1
64,Drug:5143,Protein:1434,0
