Drug:0 CCC[N+]#[C-]
Drug:1 C1=CC=C2C=CC=CC2=C1
Drug:2 [H][C@@](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(C)=O)C(N)=O
Drug:3 [H][C@]1(O)CN(CC2=CNC3=C2N=CN=C3N)C[C@]1([H])CSCCCC
Drug:4 O=C1C=C(OC2=C1C1=CC=CC=C1C=C2)C1=CC=CC=C1
Drug:5 CCCCCCCCCCCC(=O)O
Drug:6 CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O
Drug:7 CC(CC1=CC=CC=C1)(NC(=O)CN)C1=CC=CC=C1
Drug:8 CO\N=C(/C(=O)N[C@@H]1C(=O)N2[C@]1([H])SCC(C[N+]1(C)CCCC1)=C2C([O-])=O)C1=CSC(N)=N1
Drug:9 C1=CC=C(C=C1)CCC(CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O
Drug:10 [H][C@]1(C[C@]2(ON1)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)C1=CC=C(C)C=C1
Drug:11 C(N1C=CN=C1)C1=CC=CC=C1
Drug:12 CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
Drug:13 CCCCCC/C=C\CCCCCCCCCC(=O)O
Drug:14 OC(=NC1CCN(CCC2=CNC3=CC=CC=C23)CC1)C1=CC=CC=C1
Drug:15 [H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O
Drug:16 [H][C@]1(CC)O[C@]2(C)[C@]([H])(OC(C)=O)[C@@]1(C)O[C@@]([H])(\C=C\C=C\C=C\C1=C(C)C(OC)=CC(=O)O1)[C@]2([H])O
Drug:17 [Cl-].[Cl-].[Cl-].[Cr+3]
Drug:18 CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](CO[P@](O)(=O)OC[C@H](O)CO)OC(=O)CCCCCCC\C=C/CCCCCC
Drug:19 [H][C@](N)(C1=CC=CC=C1)C1=CC=C(C=C1)C1=C2N=CNC2=NC=N1
Drug:20 [H][C@]1(CCCN1C(=O)CCC)C(=O)NCC1=CC=C(C=C1)C(N)=N
Drug:21 CCCCN1CCC(CNC(=O)C2=C3OCCCN3C3=CC=CC=C23)CC1
Drug:22 O\N=C1/CCC2=CC(=CC=C12)C1=CN(N=C1C1=CC=NC=C1)C1CCNCC1
Drug:23 [O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
Drug:24 NC1=NC2=C(N(CCNC(CO)CO)C=N2)C(=O)N1
Drug:25 OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1S
Drug:26 Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1
Drug:27 [H]C(CCCC(O)=O)=C([H])CC1C(\C([H])=C(/[H])C(=O)CCCCC)C(O)CC1=O
Drug:28 CCCCCCCC1=[N+]([O-])C2=CC=CC=C2C(O)=C1
Drug:29 CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C1=CC=CC=C1
Drug:30 CCCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
Drug:31 [H][C@@]1(C[C@@]1([H])C1=C(F)C=CC(C(=O)CC)=C1O)NC(=O)NC1=NC=C(Br)C=C1
Drug:32 CC1=CC=C(C=C1)C1=NN(C2=C1C(N)=NC=N2)C(C)(C)C
Drug:33 [H][C@](O)(CC(O)=O)C(=O)N[C@@]([H])(CC(C)C)C(=O)NCCC(C)C
Drug:34 COC1=CC=CC(=C1)C2=CC=C(C=C2)[C@H](C(F)(F)F)OC3=NC(=NC(=C3)C4=CC=C(C=C4)C[C@@H](C(=O)O)N)N
Drug:35 OC(=O)CNS(=O)(=O)C1=CC=C(C=C1)N1CCC(CC1)C1=CC=CC=C1
Drug:36 [H][C@]1(O)C(=O)O[C@]([H])(CO)[C@]([H])(O)[C@]1([H])O
Drug:37 [H][C@](C(O)=O)(C1=CC=CC=C1)S(O)(=O)=O
Drug:38 NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F
Drug:39 CC[C@H](CO)Nc1nc(NCc2ccccc2)n2ncc(C(C)C)c2n1
Drug:40 CCN1C(=O)NC(C1=O)C1=CC=CC=C1
Drug:41 OC1=CC=C(C=C1)C1=CC=C2C(C=CC(O)=C2Cl)=C1
Drug:42 [H][C@]1(N)C=C(CO)C[C@]([H])(O)[C@@]1([H])O
Drug:43 C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
Drug:44 NCC1=CC=C(NC(=O)C(O)=O)C=C1
Drug:45 CC(C)CCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@H]1C2=CC(=C(O)C=C2)C2=CC(C[C@H](NC(=O)[C@H](C)NC1=O)C(O)=O)=CC=C2O
Drug:46 C(=O)(N)N
Drug:47 Clc1sccc1COC(Cn1ccnc1)c1ccc(Cl)cc1Cl
Drug:48 OC(=O)C1=CC=C([Hg])C=C1
Drug:49 C(CC(=O)O)C(=O)O
Drug:50 FC(F)(F)C1=CC=CC=C1S(=O)(=O)NNC(=O)C1=CC2=CC(Cl)=CC=C2O1
Drug:51 COC1=CC(=O)C2=C(C(COC3=CC=CC=C3)=C(C)N2C)C1=O
Drug:52 [H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
Drug:53 ONC(=O)CP(O)(O)=O
Drug:54 CN(CCO)C1=NC=NC2=C1C(=C(O2)C1=CC=CC=C1)C1=CC=CC=C1
Drug:55 CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
Drug:56 COC1=CC2=C(C=C1)N=CN2
Drug:57 C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
Drug:58 [H][C@]1(CF)CC2=CC=C(C=C2CN1)S(=O)(=O)N1CCSCC1
Drug:59 NCC(=O)NC1=CC=C(OCC2=CC=CC=C2)C=C1
Drug:60 C[C@]1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(F)C=C1F
Drug:61 COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O
Drug:62 CC(C)C[C@@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)NC(=O)C1=CC=CC(N)=C1
Drug:63 CN1CCN(CC1)C1=CC=C(CC2=CC3=CN=C(CN)N=C3N2C2CCCCC2)C=C1
Drug:64 CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C
Drug:65 [K+].[O-][Cl](=O)(=O)=O
