,head,tail,label
0,Drug:5586,Protein:2107,1
1,Drug:181,Protein:641,1
2,Drug:6583,Protein:2306,1
3,Drug:6503,Protein:3085,1
4,Drug:2687,Protein:2169,1
5,Drug:2725,Protein:3395,1
6,Drug:1485,Protein:3554,1
7,Drug:3781,Protein:1740,1
8,Drug:5775,Protein:1647,1
9,Drug:6380,Protein:2812,1
10,Drug:4197,Protein:3282,1
11,Drug:5642,Protein:1156,1
12,Drug:2181,Protein:274,1
13,Drug:123,Protein:2052,1
14,Drug:5595,Protein:2070,1
15,Drug:803,Protein:3478,1
16,Drug:2972,Protein:230,1
17,Drug:60,Protein:1595,1
18,Drug:2810,Protein:1487,1
19,Drug:404,Protein:1456,1
20,Drug:6406,Protein:1049,1
21,Drug:2329,Protein:1958,1
22,Drug:2799,Protein:1267,1
23,Drug:6084,Protein:2298,1
24,Drug:6137,Protein:3367,1
25,Drug:5061,Protein:1445,1
26,Drug:4171,Protein:2460,1
27,Drug:5255,Protein:410,1
28,Drug:3371,Protein:2805,1
29,Drug:4122,Protein:4229,1
30,Drug:6216,Protein:1580,1
31,Drug:2094,Protein:891,1
32,Drug:5061,Protein:7,1
33,Drug:902,Protein:3531,1
34,Drug:2728,Protein:3211,1
35,Drug:6492,Protein:1262,1
36,Drug:1583,Protein:4045,1
37,Drug:2917,Protein:2432,1
38,Drug:2240,Protein:2442,1
39,Drug:3648,Protein:2376,1
40,Drug:3143,Protein:4298,1
41,Drug:730,Protein:2687,1
42,Drug:2772,Protein:1810,1
43,Drug:3367,Protein:2669,1
44,Drug:3294,Protein:249,1
45,Drug:5947,Protein:3577,1
46,Drug:2531,Protein:903,1
47,Drug:1585,Protein:216,1
48,Drug:1799,Protein:1249,1
49,Drug:6221,Protein:3667,1
50,Drug:1664,Protein:1567,1
51,Drug:3807,Protein:3282,1
52,Drug:5946,Protein:35,1
53,Drug:4186,Protein:1995,1
54,Drug:3178,Protein:2015,1
55,Drug:3601,Protein:2609,1
56,Drug:1683,Protein:3972,1
57,Drug:3098,Protein:1740,1
58,Drug:6031,Protein:2511,1
59,Drug:5187,Protein:3563,1
60,Drug:3787,Protein:1406,1
61,Drug:696,Protein:1890,1
62,Drug:1146,Protein:1740,1
63,Drug:2200,Protein:1631,1
64,Drug:4776,Protein:3149,1
65,Drug:5251,Protein:1740,1
66,Drug:193,Protein:1792,1
67,Drug:2498,Protein:3409,1
68,Drug:3069,Protein:3234,1
69,Drug:5161,Protein:2718,1
70,Drug:3041,Protein:1386,1
71,Drug:2773,Protein:3397,1
72,Drug:2664,Protein:2298,1
73,Drug:6020,Protein:258,1
74,Drug:4275,Protein:3544,1
75,Drug:475,Protein:3859,1
76,Drug:3423,Protein:1138,1
77,Drug:6140,Protein:1852,1
78,Drug:6098,Protein:4009,1
79,Drug:801,Protein:1178,1
80,Drug:3799,Protein:4112,1
81,Drug:2051,Protein:717,1
82,Drug:4922,Protein:658,1
83,Drug:4069,Protein:1942,1
84,Drug:2421,Protein:3233,1
85,Drug:3799,Protein:379,1
86,Drug:3754,Protein:957,1
87,Drug:1416,Protein:1878,1
88,Drug:5753,Protein:3492,1
89,Drug:4112,Protein:3727,1
90,Drug:5549,Protein:140,1
91,Drug:654,Protein:332,1
92,Drug:1298,Protein:1930,1
93,Drug:1000,Protein:33,1
94,Drug:189,Protein:143,1
95,Drug:3182,Protein:3750,1
96,Drug:927,Protein:4093,1
97,Drug:6022,Protein:1782,1
98,Drug:190,Protein:753,1
99,Drug:2028,Protein:3544,1
100,Drug:1990,Protein:4434,1
101,Drug:3626,Protein:4204,1
102,Drug:2193,Protein:1332,1
103,Drug:5705,Protein:354,1
104,Drug:2721,Protein:4457,1
105,Drug:5575,Protein:1562,1
106,Drug:341,Protein:3544,1
107,Drug:3601,Protein:2224,1
108,Drug:5091,Protein:1407,1
109,Drug:3865,Protein:2554,1
110,Drug:4611,Protein:3793,1
111,Drug:4238,Protein:1262,1
112,Drug:5989,Protein:3263,1
113,Drug:3704,Protein:3253,1
114,Drug:62,Protein:4394,1
115,Drug:1000,Protein:262,1
116,Drug:4042,Protein:3761,1
117,Drug:6418,Protein:904,1
118,Drug:1091,Protein:4326,1
119,Drug:2265,Protein:1108,1
120,Drug:616,Protein:288,1
121,Drug:5642,Protein:577,1
122,Drug:2507,Protein:2245,1
123,Drug:1128,Protein:1095,1
124,Drug:6753,Protein:3341,1
125,Drug:3935,Protein:3338,1
126,Drug:4736,Protein:1783,1
127,Drug:6472,Protein:76,1
128,Drug:415,Protein:3428,1
129,Drug:4069,Protein:922,1
130,Drug:3058,Protein:1108,1
131,Drug:4455,Protein:3926,1
132,Drug:2918,Protein:1049,1
133,Drug:1286,Protein:1793,1
134,Drug:6371,Protein:3661,1
135,Drug:77,Protein:851,1
136,Drug:4975,Protein:1006,1
137,Drug:2595,Protein:2403,1
138,Drug:2454,Protein:1397,1
139,Drug:3802,Protein:3194,1
140,Drug:127,Protein:3972,1
141,Drug:5,Protein:3075,1
142,Drug:5355,Protein:33,1
143,Drug:5210,Protein:3810,1
144,Drug:994,Protein:3213,1
145,Drug:4289,Protein:2519,1
146,Drug:809,Protein:2403,1
147,Drug:559,Protein:786,1
148,Drug:4192,Protein:2019,1
149,Drug:3502,Protein:2403,1
150,Drug:5642,Protein:3282,1
151,Drug:3572,Protein:2817,1
152,Drug:6385,Protein:2640,1
153,Drug:2296,Protein:2906,1
154,Drug:1818,Protein:3427,1
155,Drug:1210,Protein:4048,1
156,Drug:3226,Protein:1539,1
157,Drug:495,Protein:3612,1
158,Drug:1878,Protein:276,1
159,Drug:1778,Protein:2789,1
160,Drug:2498,Protein:953,1
161,Drug:3993,Protein:3429,1
162,Drug:4942,Protein:1147,1
163,Drug:2174,Protein:773,1
164,Drug:5683,Protein:1334,1
165,Drug:1374,Protein:3409,1
166,Drug:1611,Protein:3949,1
167,Drug:3648,Protein:2085,1
168,Drug:6097,Protein:3884,1
169,Drug:5255,Protein:3376,1
170,Drug:5595,Protein:354,1
171,Drug:2541,Protein:47,1
172,Drug:3655,Protein:1167,1
173,Drug:1403,Protein:937,1
174,Drug:155,Protein:1686,1
175,Drug:1259,Protein:3792,1
176,Drug:503,Protein:2564,1
177,Drug:3778,Protein:3764,1
178,Drug:2106,Protein:3081,1
179,Drug:3798,Protein:295,1
180,Drug:6019,Protein:328,1
181,Drug:1451,Protein:2107,1
182,Drug:6067,Protein:28,1
183,Drug:4671,Protein:277,1
184,Drug:5376,Protein:1814,1
