,head,tail,label
0,Drug:6503,Protein:3085,1
1,Drug:3781,Protein:1740,1
2,Drug:2181,Protein:274,1
3,Drug:2972,Protein:230,1
4,Drug:2810,Protein:1487,1
5,Drug:404,Protein:1456,1
6,Drug:4171,Protein:2460,1
7,Drug:5255,Protein:410,1
8,Drug:6216,Protein:1580,1
9,Drug:2094,Protein:891,1
10,Drug:2728,Protein:3211,1
11,Drug:1583,Protein:4045,1
12,Drug:2917,Protein:2432,1
13,Drug:3648,Protein:2376,1
14,Drug:3143,Protein:4298,1
15,Drug:730,Protein:2687,1
16,Drug:3367,Protein:2669,1
17,Drug:1585,Protein:216,1
18,Drug:6221,Protein:3667,1
19,Drug:3807,Protein:3282,1
20,Drug:5946,Protein:35,1
21,Drug:3601,Protein:2609,1
22,Drug:3098,Protein:1740,1
23,Drug:6031,Protein:2511,1
24,Drug:1146,Protein:1740,1
25,Drug:2200,Protein:1631,1
26,Drug:5251,Protein:1740,1
27,Drug:193,Protein:1792,1
28,Drug:2773,Protein:3397,1
29,Drug:6020,Protein:258,1
30,Drug:4275,Protein:3544,1
31,Drug:475,Protein:3859,1
32,Drug:3423,Protein:1138,1
33,Drug:3799,Protein:4112,1
34,Drug:4922,Protein:658,1
35,Drug:2421,Protein:3233,1
36,Drug:3754,Protein:957,1
37,Drug:1416,Protein:1878,1
38,Drug:4112,Protein:3727,1
39,Drug:654,Protein:332,1
40,Drug:1298,Protein:1930,1
41,Drug:1000,Protein:33,1
42,Drug:2193,Protein:1332,1
43,Drug:2721,Protein:4457,1
44,Drug:341,Protein:3544,1
45,Drug:3601,Protein:2224,1
46,Drug:4611,Protein:3793,1
47,Drug:3704,Protein:3253,1
48,Drug:62,Protein:4394,1
49,Drug:1000,Protein:262,1
50,Drug:616,Protein:288,1
51,Drug:1128,Protein:1095,1
52,Drug:3935,Protein:3338,1
53,Drug:4736,Protein:1783,1
54,Drug:6472,Protein:76,1
55,Drug:3802,Protein:3194,1
56,Drug:5355,Protein:33,1
57,Drug:4289,Protein:2519,1
58,Drug:4192,Protein:2019,1
59,Drug:1778,Protein:2789,1
60,Drug:2498,Protein:953,1
61,Drug:3993,Protein:3429,1
62,Drug:1611,Protein:3949,1
63,Drug:3648,Protein:2085,1
64,Drug:155,Protein:1686,1
65,Drug:4671,Protein:277,1
66,Drug:5376,Protein:1814,1
67,Drug:3497,Protein:4188,1
68,Drug:801,Protein:3466,1
69,Drug:5379,Protein:3523,1
70,Drug:4692,Protein:827,1
71,Drug:6032,Protein:1513,1
72,Drug:6460,Protein:666,1
73,Drug:4482,Protein:1685,1
74,Drug:699,Protein:4239,1
75,Drug:6011,Protein:4439,1
76,Drug:2203,Protein:2180,1
77,Drug:2023,Protein:1708,1
78,Drug:5144,Protein:1213,1
79,Drug:4883,Protein:1039,1
80,Drug:6201,Protein:560,1
81,Drug:5061,Protein:607,1
82,Drug:3404,Protein:386,1
83,Drug:635,Protein:615,1
84,Drug:2965,Protein:1801,1
85,Drug:4179,Protein:938,1
86,Drug:3102,Protein:913,1
87,Drug:5485,Protein:3293,1
88,Drug:6432,Protein:2996,1
89,Drug:5140,Protein:3542,1
90,Drug:1000,Protein:824,1
91,Drug:6676,Protein:3784,1
92,Drug:2585,Protein:2551,1
93,Drug:3404,Protein:972,1
94,Drug:6031,Protein:344,1
95,Drug:3497,Protein:1740,1
96,Drug:4874,Protein:677,1
97,Drug:847,Protein:366,1
98,Drug:809,Protein:2922,1
99,Drug:4929,Protein:1709,1
100,Drug:1078,Protein:3668,1
101,Drug:3704,Protein:1740,1
102,Drug:2982,Protein:2929,1
103,Drug:3683,Protein:1785,1
104,Drug:2634,Protein:2433,1
105,Drug:4855,Protein:1117,1
106,Drug:943,Protein:2245,1
107,Drug:876,Protein:3293,1
108,Drug:341,Protein:658,1
109,Drug:4895,Protein:231,1
110,Drug:2435,Protein:526,1
111,Drug:1000,Protein:2020,1
112,Drug:5551,Protein:3482,1
113,Drug:2623,Protein:1823,1
114,Drug:955,Protein:417,1
115,Drug:5905,Protein:1647,1
116,Drug:4076,Protein:127,1
117,Drug:2303,Protein:3310,1
118,Drug:2630,Protein:3544,1
119,Drug:5148,Protein:767,1
120,Drug:1298,Protein:2474,1
121,Drug:1321,Protein:2638,1
122,Drug:4510,Protein:2620,1
123,Drug:3339,Protein:3177,1
124,Drug:5152,Protein:2977,1
125,Drug:1000,Protein:2427,1
126,Drug:5061,Protein:398,1
127,Drug:1400,Protein:1740,1
128,Drug:3041,Protein:3759,1
129,Drug:5942,Protein:1423,1
130,Drug:1970,Protein:1487,1
131,Drug:315,Protein:2816,1
132,Drug:3877,Protein:1644,1
133,Drug:6097,Protein:1679,1
134,Drug:4971,Protein:3837,1
135,Drug:6302,Protein:2629,1
136,Drug:4253,Protein:3293,1
137,Drug:1312,Protein:4239,1
138,Drug:1890,Protein:3935,1
139,Drug:4345,Protein:1647,1
140,Drug:4807,Protein:3793,1
141,Drug:5300,Protein:3374,1
142,Drug:5113,Protein:3282,1
143,Drug:4253,Protein:4111,1
144,Drug:4797,Protein:1329,1
145,Drug:940,Protein:4295,1
146,Drug:4850,Protein:1072,1
147,Drug:748,Protein:3338,1
148,Drug:2799,Protein:4111,1
149,Drug:6227,Protein:2108,1
150,Drug:3504,Protein:1495,1
151,Drug:4545,Protein:3294,1
152,Drug:4776,Protein:3311,1
153,Drug:2536,Protein:3534,1
154,Drug:193,Protein:3462,1
155,Drug:3419,Protein:2309,1
156,Drug:5473,Protein:3954,1
157,Drug:1925,Protein:871,1
158,Drug:2922,Protein:3594,1
159,Drug:3635,Protein:2732,1
160,Drug:528,Protein:3344,1
161,Drug:138,Protein:953,1
162,Drug:6283,Protein:76,1
163,Drug:2578,Protein:230,1
164,Drug:4430,Protein:2514,1
165,Drug:6221,Protein:59,1
166,Drug:2435,Protein:2667,1
167,Drug:4457,Protein:1095,1
168,Drug:5477,Protein:781,1
169,Drug:309,Protein:2260,1
170,Drug:499,Protein:1524,1
171,Drug:1124,Protein:2433,1
172,Drug:2871,Protein:3197,1
173,Drug:2840,Protein:1247,1
174,Drug:2147,Protein:1487,1
175,Drug:2450,Protein:4387,1
176,Drug:5766,Protein:645,1
177,Drug:801,Protein:2703,1
178,Drug:6221,Protein:319,1
179,Drug:5142,Protein:1138,1
180,Drug:5111,Protein:2789,1
181,Drug:320,Protein:2978,1
182,Drug:4430,Protein:2033,1
183,Drug:2395,Protein:2789,1
184,Drug:2471,Protein:394,1
185,Drug:5597,Protein:4087,1
186,Drug:4162,Protein:230,1
187,Drug:528,Protein:269,1
188,Drug:4370,Protein:774,1
189,Drug:1114,Protein:4057,1
190,Drug:3877,Protein:2481,1
191,Drug:4057,Protein:2912,1
192,Drug:1439,Protein:3543,1
193,Drug:2634,Protein:33,1
194,Drug:4770,Protein:230,1
195,Drug:6758,Protein:4382,1
196,Drug:2450,Protein:2185,1
197,Drug:5316,Protein:1921,1
198,Drug:4056,Protein:3429,1
199,Drug:2509,Protein:3462,1
200,Drug:2326,Protein:425,1
201,Drug:2226,Protein:770,1
202,Drug:496,Protein:4067,1
203,Drug:2442,Protein:3785,1
204,Drug:6462,Protein:2223,1
205,Drug:920,Protein:3222,1
206,Drug:2824,Protein:2649,1
207,Drug:4052,Protein:9,1
208,Drug:1188,Protein:742,1
209,Drug:980,Protein:4267,1
210,Drug:3407,Protein:666,1
211,Drug:6153,Protein:3871,1
212,Drug:2884,Protein:1826,1
213,Drug:5698,Protein:3817,1
214,Drug:3877,Protein:197,1
215,Drug:4426,Protein:1850,1
216,Drug:3446,Protein:1939,1
217,Drug:3683,Protein:4276,1
218,Drug:6221,Protein:2823,1
219,Drug:6063,Protein:2034,1
220,Drug:6253,Protein:2993,1
221,Drug:4727,Protein:2763,1
222,Drug:3992,Protein:1930,1
223,Drug:5466,Protein:2789,1
224,Drug:3683,Protein:2691,1
225,Drug:5631,Protein:3565,1
226,Drug:5061,Protein:2284,1
