,head,tail,label
0,Drug:3607,Protein:2079,0
1,Drug:3187,Protein:1358,0
2,Drug:1779,Protein:3534,1
3,Drug:211,Protein:1602,1
4,Drug:3075,Protein:4458,0
5,Drug:5039,Protein:2301,0
6,Drug:3119,Protein:2169,1
7,Drug:5573,Protein:1019,0
8,Drug:5777,Protein:725,0
9,Drug:5850,Protein:1844,0
10,Drug:5886,Protein:3406,1
11,Drug:6013,Protein:3530,1
12,Drug:2024,Protein:1567,1
13,Drug:6028,Protein:774,0
14,Drug:403,Protein:3695,1
15,Drug:6084,Protein:342,1
16,Drug:2505,Protein:1464,1
17,Drug:2036,Protein:1820,0
18,Drug:5949,Protein:1205,0
19,Drug:1164,Protein:649,0
20,Drug:2532,Protein:1868,1
21,Drug:381,Protein:3235,0
22,Drug:801,Protein:2382,1
23,Drug:2691,Protein:374,0
24,Drug:2648,Protein:3901,0
25,Drug:3877,Protein:2533,1
26,Drug:1767,Protein:4031,0
27,Drug:5982,Protein:2681,1
28,Drug:410,Protein:1474,0
29,Drug:2409,Protein:3131,0
30,Drug:842,Protein:1808,0
31,Drug:6050,Protein:3987,1
32,Drug:4382,Protein:2636,0
33,Drug:2523,Protein:1468,0
34,Drug:5105,Protein:2921,1
35,Drug:5866,Protein:3395,0
36,Drug:3463,Protein:175,0
37,Drug:1940,Protein:3973,0
38,Drug:1613,Protein:2887,1
39,Drug:4983,Protein:3831,0
40,Drug:6280,Protein:3716,0
41,Drug:3609,Protein:1198,0
42,Drug:43,Protein:1334,1
43,Drug:3877,Protein:3296,1
44,Drug:5829,Protein:2686,0
45,Drug:1904,Protein:256,0
46,Drug:2854,Protein:1156,1
47,Drug:2871,Protein:3540,0
48,Drug:496,Protein:3304,0
49,Drug:1400,Protein:1740,1
50,Drug:5061,Protein:3963,1
51,Drug:384,Protein:2623,0
52,Drug:730,Protein:3339,0
53,Drug:1445,Protein:1173,0
54,Drug:735,Protein:654,0
55,Drug:5192,Protein:1387,0
56,Drug:5371,Protein:3049,1
57,Drug:2946,Protein:2398,0
58,Drug:5834,Protein:704,0
59,Drug:3436,Protein:1848,0
60,Drug:6470,Protein:2883,0
61,Drug:5673,Protein:388,0
62,Drug:1925,Protein:4342,1
63,Drug:2915,Protein:3056,0
64,Drug:4885,Protein:379,0
65,Drug:744,Protein:2926,1
66,Drug:2627,Protein:2763,0
67,Drug:6771,Protein:3498,1
68,Drug:931,Protein:4241,0
69,Drug:4620,Protein:3622,1
70,Drug:5382,Protein:3298,0
71,Drug:2416,Protein:1812,0
72,Drug:3414,Protein:3767,0
73,Drug:4786,Protein:1930,1
74,Drug:1212,Protein:311,0
75,Drug:4362,Protein:140,0
76,Drug:5806,Protein:274,0
77,Drug:5629,Protein:2123,0
78,Drug:2226,Protein:3469,0
79,Drug:1796,Protein:2711,0
80,Drug:1253,Protein:3276,1
81,Drug:1940,Protein:788,0
82,Drug:3266,Protein:1686,1
83,Drug:3670,Protein:2778,1
84,Drug:3649,Protein:1467,1
85,Drug:4714,Protein:2290,1
86,Drug:5286,Protein:1617,0
87,Drug:403,Protein:3727,1
88,Drug:106,Protein:1479,0
89,Drug:870,Protein:1906,0
90,Drug:2969,Protein:4466,0
91,Drug:2428,Protein:1628,0
92,Drug:6067,Protein:105,1
93,Drug:1779,Protein:1560,1
94,Drug:3501,Protein:3282,1
95,Drug:3689,Protein:3013,1
96,Drug:6001,Protein:808,1
97,Drug:300,Protein:3016,0
98,Drug:3796,Protein:915,0
99,Drug:4931,Protein:2866,0
100,Drug:1796,Protein:3176,1
101,Drug:6757,Protein:722,1
102,Drug:3041,Protein:4265,1
103,Drug:2094,Protein:3428,1
104,Drug:6628,Protein:4269,1
105,Drug:6601,Protein:2169,1
106,Drug:5895,Protein:1440,1
107,Drug:5140,Protein:1152,0
108,Drug:5582,Protein:657,0
109,Drug:2493,Protein:1156,1
110,Drug:3687,Protein:3446,0
111,Drug:528,Protein:1712,1
112,Drug:5613,Protein:3630,0
113,Drug:6221,Protein:2933,1
114,Drug:1031,Protein:3648,1
115,Drug:6668,Protein:4003,0
116,Drug:6249,Protein:773,0
117,Drug:4499,Protein:3884,1
118,Drug:5825,Protein:2699,0
119,Drug:3643,Protein:38,0
120,Drug:1358,Protein:2904,0
121,Drug:1804,Protein:798,0
122,Drug:3630,Protein:109,0
123,Drug:3165,Protein:1868,1
124,Drug:3759,Protein:1236,0
125,Drug:446,Protein:1710,1
126,Drug:2730,Protein:1374,1
127,Drug:761,Protein:30,1
128,Drug:2972,Protein:641,1
129,Drug:2488,Protein:230,1
130,Drug:5393,Protein:222,1
