,head,tail,label
0,Drug:5517,Protein:2463,1
1,Drug:4165,Protein:3428,1
2,Drug:2868,Protein:802,0
3,Drug:719,Protein:4237,0
4,Drug:6490,Protein:3991,0
5,Drug:507,Protein:1613,0
6,Drug:713,Protein:1218,1
7,Drug:1477,Protein:394,1
8,Drug:2892,Protein:3548,0
9,Drug:3819,Protein:1258,0
10,Drug:5278,Protein:4267,1
11,Drug:5687,Protein:3764,1
12,Drug:5171,Protein:2179,0
13,Drug:1162,Protein:2819,1
14,Drug:2799,Protein:4111,1
15,Drug:6474,Protein:424,0
16,Drug:3361,Protein:3415,0
17,Drug:6262,Protein:3003,1
18,Drug:5266,Protein:1744,0
19,Drug:5684,Protein:456,0
20,Drug:4418,Protein:4370,1
21,Drug:3977,Protein:2137,0
22,Drug:5236,Protein:4369,0
23,Drug:1388,Protein:2158,0
24,Drug:3530,Protein:1633,0
25,Drug:1822,Protein:1047,0
26,Drug:6649,Protein:3532,0
27,Drug:6768,Protein:2169,1
28,Drug:1578,Protein:666,0
29,Drug:5080,Protein:3684,1
30,Drug:616,Protein:3555,1
31,Drug:4652,Protein:3827,0
32,Drug:4317,Protein:2621,0
33,Drug:2767,Protein:3092,0
34,Drug:2726,Protein:2043,0
35,Drug:3245,Protein:2414,1
36,Drug:3668,Protein:1746,1
37,Drug:4641,Protein:3955,0
38,Drug:3919,Protein:3831,0
39,Drug:1257,Protein:2935,0
40,Drug:852,Protein:1435,0
41,Drug:1423,Protein:1227,0
42,Drug:1081,Protein:3647,0
43,Drug:815,Protein:1686,1
44,Drug:6286,Protein:781,0
45,Drug:1568,Protein:3934,0
46,Drug:4365,Protein:555,0
47,Drug:2275,Protein:3984,1
48,Drug:6320,Protein:1517,1
49,Drug:3904,Protein:3472,1
50,Drug:5061,Protein:1170,1
51,Drug:819,Protein:2795,0
52,Drug:3683,Protein:193,1
53,Drug:4693,Protein:987,0
54,Drug:6416,Protein:4325,0
55,Drug:5796,Protein:3240,0
56,Drug:5044,Protein:1156,1
57,Drug:944,Protein:1245,0
58,Drug:4094,Protein:2651,1
59,Drug:4825,Protein:337,0
60,Drug:6138,Protein:2595,0
61,Drug:3051,Protein:3590,0
62,Drug:2206,Protein:1874,0
63,Drug:6482,Protein:2386,0
64,Drug:25,Protein:295,0
65,Drug:3387,Protein:3113,1
66,Drug:6392,Protein:4091,1
67,Drug:4777,Protein:4458,0
68,Drug:1335,Protein:579,1
69,Drug:1470,Protein:166,0
70,Drug:262,Protein:687,1
71,Drug:2094,Protein:567,1
72,Drug:6388,Protein:687,1
73,Drug:2947,Protein:258,1
74,Drug:2719,Protein:2572,0
75,Drug:53,Protein:3173,0
76,Drug:4712,Protein:865,0
77,Drug:226,Protein:2890,1
78,Drug:4625,Protein:4047,1
79,Drug:1234,Protein:2454,0
80,Drug:1865,Protein:1900,0
81,Drug:4353,Protein:1719,0
82,Drug:5800,Protein:380,0
83,Drug:5193,Protein:35,1
84,Drug:637,Protein:1364,0
85,Drug:6,Protein:216,1
86,Drug:6174,Protein:521,0
87,Drug:4622,Protein:2856,0
88,Drug:2962,Protein:2036,1
89,Drug:3293,Protein:3782,0
90,Drug:3042,Protein:1266,0
91,Drug:1241,Protein:2302,0
92,Drug:1755,Protein:3412,0
93,Drug:6282,Protein:758,0
94,Drug:2329,Protein:1111,0
95,Drug:4466,Protein:1950,0
96,Drug:991,Protein:41,0
97,Drug:1850,Protein:381,0
98,Drug:3956,Protein:1740,1
99,Drug:6555,Protein:1331,0
100,Drug:2569,Protein:1841,0
101,Drug:2855,Protein:1178,1
102,Drug:6533,Protein:934,0
103,Drug:5104,Protein:704,0
104,Drug:4723,Protein:3974,1
105,Drug:4504,Protein:3158,0
106,Drug:1964,Protein:1221,1
107,Drug:5043,Protein:2847,0
108,Drug:5569,Protein:3293,1
109,Drug:1787,Protein:2956,1
110,Drug:4428,Protein:1540,0
111,Drug:5906,Protein:2550,0
112,Drug:3071,Protein:4123,0
113,Drug:4851,Protein:3982,0
114,Drug:389,Protein:3259,0
115,Drug:1857,Protein:1868,1
116,Drug:4402,Protein:160,0
117,Drug:2887,Protein:3467,0
118,Drug:837,Protein:245,0
119,Drug:6079,Protein:1057,0
120,Drug:5607,Protein:3352,0
121,Drug:2974,Protein:107,0
122,Drug:6117,Protein:3730,1
123,Drug:3877,Protein:168,1
124,Drug:1000,Protein:628,1
125,Drug:400,Protein:1188,0
126,Drug:2168,Protein:1335,0
127,Drug:3718,Protein:1311,0
128,Drug:3666,Protein:3534,1
129,Drug:315,Protein:2714,1
130,Drug:2621,Protein:1167,1
131,Drug:1480,Protein:3982,0
132,Drug:2921,Protein:3544,1
133,Drug:5097,Protein:1529,0
134,Drug:2967,Protein:227,0
135,Drug:822,Protein:4192,0
136,Drug:500,Protein:2403,1
137,Drug:4755,Protein:1791,1
138,Drug:2887,Protein:2322,1
139,Drug:616,Protein:2240,1
140,Drug:3380,Protein:1740,1
141,Drug:6436,Protein:410,0
142,Drug:1213,Protein:3953,0
143,Drug:3426,Protein:2694,0
144,Drug:3554,Protein:1104,1
145,Drug:5023,Protein:2289,0
146,Drug:3677,Protein:4325,0
147,Drug:6365,Protein:2763,1
148,Drug:2106,Protein:4328,1
149,Drug:1835,Protein:372,0
150,Drug:74,Protein:146,0
151,Drug:528,Protein:810,1
152,Drug:262,Protein:1687,0
153,Drug:581,Protein:2675,0
154,Drug:3777,Protein:281,0
155,Drug:3063,Protein:1747,0
156,Drug:1794,Protein:1267,1
157,Drug:3023,Protein:4323,0
158,Drug:757,Protein:3397,0
159,Drug:2795,Protein:1201,0
160,Drug:26,Protein:1295,1
161,Drug:1000,Protein:2284,1
162,Drug:6461,Protein:1599,0
163,Drug:5775,Protein:1740,1
164,Drug:4244,Protein:3731,0
165,Drug:3445,Protein:3049,1
166,Drug:2381,Protein:1459,0
167,Drug:5791,Protein:1374,0
168,Drug:1608,Protein:3274,0
169,Drug:6026,Protein:3341,0
170,Drug:1814,Protein:3022,1
171,Drug:5922,Protein:2738,0
172,Drug:5815,Protein:3980,0
173,Drug:1290,Protein:1175,0
174,Drug:4293,Protein:394,1
175,Drug:3626,Protein:2249,1
176,Drug:5253,Protein:1812,0
177,Drug:956,Protein:1803,0
178,Drug:2661,Protein:3950,0
179,Drug:4912,Protein:2503,0
180,Drug:2299,Protein:2955,1
181,Drug:2041,Protein:4220,0
182,Drug:2542,Protein:2641,0
183,Drug:2377,Protein:4070,0
184,Drug:2298,Protein:3858,1
185,Drug:3259,Protein:4094,0
186,Drug:242,Protein:3962,0
187,Drug:4499,Protein:538,0
188,Drug:4989,Protein:54,0
189,Drug:3531,Protein:4085,1
190,Drug:2815,Protein:442,0
191,Drug:2414,Protein:1493,0
192,Drug:5425,Protein:451,1
193,Drug:3917,Protein:4282,1
194,Drug:3697,Protein:249,1
195,Drug:1736,Protein:1450,0
196,Drug:2619,Protein:4229,1
197,Drug:3096,Protein:1345,0
198,Drug:4724,Protein:2637,0
199,Drug:2839,Protein:151,1
200,Drug:134,Protein:3212,0
201,Drug:485,Protein:1255,0
202,Drug:3924,Protein:1747,0
203,Drug:2513,Protein:2311,0
204,Drug:5976,Protein:1700,0
205,Drug:4780,Protein:2816,0
206,Drug:177,Protein:1662,0
207,Drug:67,Protein:2004,0
208,Drug:1463,Protein:3255,0
209,Drug:6229,Protein:3500,0
210,Drug:1317,Protein:249,1
211,Drug:1095,Protein:3112,1
212,Drug:3025,Protein:2208,0
213,Drug:446,Protein:4389,0
214,Drug:5434,Protein:407,1
215,Drug:2391,Protein:199,0
216,Drug:4426,Protein:2033,0
217,Drug:210,Protein:3955,1
218,Drug:950,Protein:2227,0
219,Drug:4397,Protein:4336,0
220,Drug:5929,Protein:2668,0
221,Drug:2759,Protein:661,0
222,Drug:5800,Protein:963,1
223,Drug:1165,Protein:1216,0
224,Drug:478,Protein:1399,1
225,Drug:802,Protein:2890,1
226,Drug:2549,Protein:1699,1
227,Drug:3399,Protein:3704,0
228,Drug:3227,Protein:3979,0
229,Drug:1092,Protein:1156,1
230,Drug:5223,Protein:3727,1
231,Drug:5633,Protein:3560,0
232,Drug:1913,Protein:1167,1
233,Drug:1429,Protein:451,1
234,Drug:6671,Protein:1296,0
235,Drug:5472,Protein:3797,0
236,Drug:420,Protein:2854,0
237,Drug:5125,Protein:3781,0
238,Drug:5754,Protein:1026,1
239,Drug:5937,Protein:4270,0
240,Drug:4806,Protein:3739,0
241,Drug:2665,Protein:3491,1
242,Drug:788,Protein:3317,0
243,Drug:3651,Protein:3100,1
244,Drug:2972,Protein:851,1
245,Drug:1048,Protein:41,0
246,Drug:3683,Protein:266,1
247,Drug:6280,Protein:843,0
248,Drug:4883,Protein:1039,1
249,Drug:3479,Protein:4408,0
250,Drug:273,Protein:232,0
251,Drug:5348,Protein:1645,1
252,Drug:3112,Protein:3460,1
