,head,tail,label
0,Drug:2119,Protein:3641,0
1,Drug:6112,Protein:1146,1
2,Drug:4236,Protein:3539,0
3,Drug:3927,Protein:1049,1
4,Drug:5992,Protein:3337,0
5,Drug:6382,Protein:641,1
6,Drug:2894,Protein:1484,0
7,Drug:1076,Protein:124,0
8,Drug:5235,Protein:1274,0
9,Drug:4619,Protein:543,0
10,Drug:6420,Protein:2914,1
11,Drug:4577,Protein:2374,1
12,Drug:2873,Protein:826,0
13,Drug:4299,Protein:2303,0
14,Drug:5515,Protein:2214,0
15,Drug:5462,Protein:2106,0
16,Drug:3188,Protein:423,0
17,Drug:1524,Protein:3771,0
18,Drug:1912,Protein:2831,0
19,Drug:3220,Protein:3912,1
20,Drug:809,Protein:431,1
21,Drug:2399,Protein:2567,1
22,Drug:3516,Protein:441,0
23,Drug:4706,Protein:4269,1
24,Drug:5120,Protein:4196,0
25,Drug:5590,Protein:777,1
26,Drug:2844,Protein:1898,0
27,Drug:6083,Protein:206,0
28,Drug:1950,Protein:2498,0
29,Drug:1080,Protein:1632,0
30,Drug:1907,Protein:3367,1
31,Drug:801,Protein:2987,1
32,Drug:6722,Protein:19,0
33,Drug:2977,Protein:1745,1
34,Drug:1491,Protein:1593,0
35,Drug:6018,Protein:1471,0
36,Drug:344,Protein:4319,0
37,Drug:2141,Protein:3563,1
38,Drug:4433,Protein:1602,1
39,Drug:6539,Protein:4314,0
40,Drug:5897,Protein:639,0
41,Drug:920,Protein:3917,1
42,Drug:6221,Protein:1835,1
43,Drug:6417,Protein:1631,0
44,Drug:297,Protein:1016,0
45,Drug:49,Protein:2307,1
46,Drug:862,Protein:2165,1
47,Drug:96,Protein:928,0
48,Drug:6224,Protein:1207,1
49,Drug:3021,Protein:4074,0
50,Drug:1593,Protein:3939,0
51,Drug:6259,Protein:2391,0
52,Drug:5971,Protein:1744,0
53,Drug:5753,Protein:361,1
54,Drug:1989,Protein:3977,0
55,Drug:1609,Protein:114,1
56,Drug:6382,Protein:1156,1
57,Drug:6676,Protein:3869,1
58,Drug:634,Protein:4457,1
59,Drug:3280,Protein:3504,0
60,Drug:1787,Protein:88,0
61,Drug:2349,Protein:3544,1
62,Drug:4544,Protein:4258,0
63,Drug:2765,Protein:66,1
64,Drug:1170,Protein:187,0
65,Drug:5789,Protein:2785,0
66,Drug:5157,Protein:4045,0
67,Drug:3584,Protein:1361,0
68,Drug:1868,Protein:607,1
69,Drug:4082,Protein:489,0
70,Drug:1371,Protein:2749,0
71,Drug:1000,Protein:277,1
72,Drug:4899,Protein:3303,0
73,Drug:658,Protein:3730,1
74,Drug:6198,Protein:772,0
75,Drug:1269,Protein:2418,0
76,Drug:2088,Protein:1031,0
77,Drug:5141,Protein:1099,1
78,Drug:2145,Protein:3977,0
79,Drug:3742,Protein:877,0
80,Drug:2162,Protein:3498,1
81,Drug:4286,Protein:2578,0
82,Drug:3683,Protein:3482,1
83,Drug:181,Protein:484,0
84,Drug:5974,Protein:1309,0
85,Drug:1028,Protein:3452,0
86,Drug:212,Protein:2107,1
87,Drug:4388,Protein:3563,1
88,Drug:728,Protein:3395,1
89,Drug:6461,Protein:1575,0
90,Drug:4783,Protein:3540,1
91,Drug:66,Protein:2705,0
92,Drug:2152,Protein:735,1
93,Drug:6637,Protein:3345,1
94,Drug:6124,Protein:4381,1
95,Drug:714,Protein:435,1
96,Drug:1723,Protein:2916,1
97,Drug:4289,Protein:1454,0
98,Drug:38,Protein:3293,1
99,Drug:2619,Protein:1332,1
100,Drug:908,Protein:413,0
101,Drug:148,Protein:2403,1
102,Drug:6221,Protein:526,1
103,Drug:4832,Protein:3400,0
104,Drug:1070,Protein:2228,1
105,Drug:1474,Protein:4091,0
106,Drug:11,Protein:3681,1
107,Drug:3062,Protein:2865,1
108,Drug:5061,Protein:2734,1
109,Drug:2361,Protein:1958,1
110,Drug:2430,Protein:1101,0
111,Drug:1000,Protein:2248,1
112,Drug:607,Protein:4182,0
113,Drug:3509,Protein:3526,0
114,Drug:5385,Protein:4231,0
115,Drug:1390,Protein:2729,0
116,Drug:2852,Protein:922,0
117,Drug:1861,Protein:1156,1
118,Drug:2557,Protein:1316,0
119,Drug:3601,Protein:3760,1
120,Drug:5893,Protein:2817,0
121,Drug:2889,Protein:3013,1
122,Drug:2765,Protein:4211,0
123,Drug:2969,Protein:2359,1
124,Drug:4132,Protein:3233,0
125,Drug:576,Protein:3531,1
126,Drug:5256,Protein:952,0
127,Drug:1601,Protein:703,0
128,Drug:1318,Protein:3377,0
129,Drug:5310,Protein:1459,0
130,Drug:6302,Protein:4246,1
131,Drug:3481,Protein:2363,0
132,Drug:2627,Protein:2763,0
133,Drug:799,Protein:2444,1
134,Drug:2882,Protein:4449,0
135,Drug:5107,Protein:4229,1
136,Drug:1815,Protein:3549,0
137,Drug:3696,Protein:2288,1
138,Drug:631,Protein:1424,1
139,Drug:5722,Protein:1521,0
140,Drug:4843,Protein:113,1
141,Drug:365,Protein:3958,0
142,Drug:3054,Protein:3984,1
143,Drug:4708,Protein:1027,1
144,Drug:3042,Protein:541,1
145,Drug:3775,Protein:993,0
146,Drug:2244,Protein:1139,0
147,Drug:5017,Protein:2560,0
148,Drug:3682,Protein:649,1
149,Drug:6438,Protein:2709,0
150,Drug:3826,Protein:1334,1
151,Drug:4108,Protein:1258,0
152,Drug:950,Protein:288,0
153,Drug:520,Protein:4134,0
154,Drug:3855,Protein:857,0
155,Drug:4330,Protein:3310,1
156,Drug:5940,Protein:351,1
157,Drug:6724,Protein:1450,0
158,Drug:4725,Protein:842,0
159,Drug:4314,Protein:1316,0
160,Drug:3760,Protein:817,0
161,Drug:302,Protein:3932,0
162,Drug:4459,Protein:2775,0
163,Drug:6259,Protein:4034,0
164,Drug:3601,Protein:2851,1
165,Drug:4442,Protein:436,0
166,Drug:4971,Protein:1747,0
167,Drug:5705,Protein:1629,1
168,Drug:3172,Protein:1024,0
169,Drug:6212,Protein:3361,0
170,Drug:4018,Protein:4062,0
171,Drug:3713,Protein:1188,1
172,Drug:2577,Protein:4161,0
173,Drug:1030,Protein:1358,0
174,Drug:6499,Protein:697,0
175,Drug:3352,Protein:2725,0
176,Drug:5705,Protein:353,1
177,Drug:4371,Protein:835,0
178,Drug:3176,Protein:3542,0
179,Drug:6712,Protein:1285,0
180,Drug:1774,Protein:1223,1
181,Drug:3792,Protein:492,0
182,Drug:6120,Protein:1326,1
183,Drug:4988,Protein:2856,0
184,Drug:1215,Protein:573,0
185,Drug:4169,Protein:2840,0
186,Drug:1768,Protein:391,0
187,Drug:3923,Protein:1487,1
188,Drug:5268,Protein:2725,0
189,Drug:3439,Protein:2715,0
190,Drug:5044,Protein:4111,1
191,Drug:2621,Protein:2626,0
192,Drug:6312,Protein:2656,0
193,Drug:5220,Protein:1735,1
194,Drug:1594,Protein:687,1
195,Drug:942,Protein:3855,1
196,Drug:4252,Protein:120,0
197,Drug:5061,Protein:824,1
198,Drug:4206,Protein:3416,1
199,Drug:5060,Protein:1019,0
200,Drug:6385,Protein:848,1
201,Drug:5844,Protein:4184,0
202,Drug:2700,Protein:34,0
203,Drug:2117,Protein:4235,0
204,Drug:5035,Protein:47,0
205,Drug:872,Protein:425,1
206,Drug:3799,Protein:909,1
207,Drug:4930,Protein:3169,0
208,Drug:4934,Protein:3062,0
209,Drug:2011,Protein:497,0
210,Drug:2606,Protein:1222,0
211,Drug:5172,Protein:2480,0
212,Drug:1819,Protein:2818,0
213,Drug:4207,Protein:22,1
214,Drug:3683,Protein:369,1
215,Drug:1016,Protein:2025,0
216,Drug:6529,Protein:1017,0
217,Drug:1276,Protein:962,0
218,Drug:3347,Protein:1684,0
219,Drug:4148,Protein:4416,0
220,Drug:676,Protein:3639,0
221,Drug:4204,Protein:786,1
222,Drug:4766,Protein:1956,1
223,Drug:5527,Protein:1710,1
224,Drug:4646,Protein:287,0
225,Drug:6628,Protein:786,1
226,Drug:528,Protein:810,1
227,Drug:1128,Protein:4274,0
228,Drug:3558,Protein:2700,0
229,Drug:4372,Protein:3379,0
230,Drug:5420,Protein:3450,0
231,Drug:462,Protein:3529,0
232,Drug:5235,Protein:1543,0
233,Drug:2220,Protein:328,0
234,Drug:6758,Protein:2853,1
235,Drug:1193,Protein:1740,1
236,Drug:1226,Protein:127,1
237,Drug:5130,Protein:2950,0
238,Drug:746,Protein:2554,0
239,Drug:809,Protein:3352,0
240,Drug:1153,Protein:454,0
241,Drug:4342,Protein:1223,1
242,Drug:5705,Protein:1535,1
243,Drug:991,Protein:2905,0
244,Drug:4267,Protein:2190,0
245,Drug:3647,Protein:3255,0
246,Drug:3261,Protein:371,0
247,Drug:5574,Protein:3426,0
248,Drug:6278,Protein:1586,0
249,Drug:3326,Protein:1390,0
250,Drug:5336,Protein:679,1
251,Drug:828,Protein:518,0
252,Drug:1289,Protein:3490,0
253,Drug:6711,Protein:4237,0
254,Drug:6122,Protein:2462,0
255,Drug:4193,Protein:1145,0
256,Drug:4560,Protein:4430,1
257,Drug:2969,Protein:1740,1
258,Drug:2623,Protein:2067,0
259,Drug:1634,Protein:1915,0
260,Drug:2161,Protein:3056,0
261,Drug:1142,Protein:2476,0
262,Drug:5603,Protein:1538,0
263,Drug:4220,Protein:1809,0
264,Drug:1863,Protein:2382,0
265,Drug:1143,Protein:575,0
266,Drug:3601,Protein:2691,1
267,Drug:2899,Protein:2298,0
268,Drug:4267,Protein:3382,0
269,Drug:3985,Protein:1659,1
270,Drug:5664,Protein:323,0
271,Drug:2037,Protein:2599,0
272,Drug:49,Protein:1338,1
273,Drug:5712,Protein:390,0
274,Drug:4178,Protein:3548,0
275,Drug:5079,Protein:1194,0
276,Drug:694,Protein:1360,1
277,Drug:477,Protein:2118,0
278,Drug:1610,Protein:3112,1
279,Drug:1960,Protein:283,0
280,Drug:3554,Protein:2812,0
281,Drug:4963,Protein:3278,0
282,Drug:6153,Protein:4126,1
283,Drug:4564,Protein:2747,0
284,Drug:644,Protein:4221,0
285,Drug:4075,Protein:4120,0
286,Drug:4975,Protein:451,1
287,Drug:1866,Protein:183,0
288,Drug:26,Protein:3139,1
289,Drug:2151,Protein:2910,1
290,Drug:4217,Protein:2636,0
291,Drug:4645,Protein:428,1
292,Drug:2186,Protein:1728,0
293,Drug:3190,Protein:3372,0
294,Drug:2515,Protein:1583,0
295,Drug:1513,Protein:3845,0
296,Drug:1731,Protein:808,1
297,Drug:4504,Protein:4022,1
298,Drug:356,Protein:3383,0
299,Drug:937,Protein:3483,0
300,Drug:1319,Protein:4454,0
301,Drug:729,Protein:3224,0
302,Drug:6393,Protein:724,0
303,Drug:1782,Protein:139,0
304,Drug:5937,Protein:1329,1
305,Drug:1785,Protein:1808,0
306,Drug:5968,Protein:167,0
307,Drug:4942,Protein:3712,1
308,Drug:5279,Protein:2074,0
309,Drug:3432,Protein:3279,0
310,Drug:4408,Protein:2649,0
311,Drug:4343,Protein:1095,1
312,Drug:2819,Protein:1283,0
313,Drug:6636,Protein:786,1
314,Drug:5140,Protein:1902,1
315,Drug:4621,Protein:1966,0
316,Drug:758,Protein:1262,1
317,Drug:5387,Protein:1808,0
318,Drug:2700,Protein:632,0
319,Drug:3572,Protein:288,1
320,Drug:179,Protein:976,1
321,Drug:2345,Protein:1944,0
322,Drug:1069,Protein:3325,0
323,Drug:3718,Protein:1311,0
324,Drug:6305,Protein:2080,0
325,Drug:6137,Protein:1267,1
326,Drug:1103,Protein:3102,0
327,Drug:906,Protein:1708,1
328,Drug:4167,Protein:1431,0
329,Drug:4272,Protein:3842,0
330,Drug:6069,Protein:2498,0
331,Drug:5465,Protein:1026,1
332,Drug:2799,Protein:4111,1
333,Drug:2802,Protein:4436,1
334,Drug:1376,Protein:2874,1
335,Drug:415,Protein:461,1
336,Drug:3364,Protein:2087,0
337,Drug:4886,Protein:147,1
338,Drug:2712,Protein:2923,0
339,Drug:447,Protein:3663,0
340,Drug:5572,Protein:1651,0
341,Drug:5698,Protein:2228,1
342,Drug:5578,Protein:773,0
343,Drug:2413,Protein:641,1
344,Drug:5558,Protein:786,0
345,Drug:4862,Protein:3602,1
346,Drug:566,Protein:270,0
347,Drug:819,Protein:3147,0
348,Drug:1920,Protein:1896,0
349,Drug:2450,Protein:2502,1
350,Drug:675,Protein:1936,0
351,Drug:5499,Protein:3707,1
352,Drug:632,Protein:806,0
353,Drug:4190,Protein:2816,0
354,Drug:2927,Protein:1748,0
355,Drug:3604,Protein:2986,1
356,Drug:4198,Protein:4008,0
357,Drug:4754,Protein:1859,0
358,Drug:2852,Protein:609,1
359,Drug:3185,Protein:1867,1
360,Drug:6135,Protein:1878,1
361,Drug:4412,Protein:1674,0
362,Drug:76,Protein:1129,1
363,Drug:3256,Protein:1798,1
364,Drug:5906,Protein:1811,1
365,Drug:3244,Protein:1889,0
366,Drug:4935,Protein:494,1
367,Drug:6629,Protein:2324,0
368,Drug:1089,Protein:1009,0
369,Drug:3813,Protein:346,1
370,Drug:3762,Protein:4315,0
