,head,tail,label
0,Drug:0,Protein:0,0.0
1,Drug:8,Protein:8,1.0
2,Drug:9,Protein:9,0.0
3,Drug:12,Protein:12,0.0
4,Drug:15,Protein:15,0.0
5,Drug:21,Protein:21,0.0
6,Drug:22,Protein:22,0.0
7,Drug:23,Protein:23,1.0
8,Drug:24,Protein:24,1.0
9,Drug:31,Protein:31,0.0
10,Drug:33,Protein:33,0.0
11,Drug:35,Protein:35,1.0
12,Drug:40,Protein:40,0.0
13,Drug:45,Protein:44,0.0
14,Drug:50,Protein:47,0.0
15,Drug:51,Protein:48,1.0
16,Drug:55,Protein:52,1.0
17,Drug:15,Protein:54,1.0
18,Drug:57,Protein:55,1.0
19,Drug:59,Protein:57,0.0
20,Drug:66,Protein:63,0.0
21,Drug:67,Protein:64,1.0
22,Drug:70,Protein:67,1.0
23,Drug:71,Protein:68,1.0
24,Drug:72,Protein:69,1.0
25,Drug:74,Protein:71,0.0
26,Drug:75,Protein:69,1.0
27,Drug:79,Protein:9,0.0
28,Drug:82,Protein:76,1.0
29,Drug:83,Protein:77,1.0
30,Drug:90,Protein:84,1.0
31,Drug:103,Protein:93,0.0
32,Drug:104,Protein:94,1.0
33,Drug:106,Protein:96,1.0
34,Drug:108,Protein:98,0.0
35,Drug:109,Protein:99,1.0
36,Drug:112,Protein:51,1.0
37,Drug:115,Protein:104,1.0
38,Drug:103,Protein:106,1.0
39,Drug:55,Protein:107,0.0
40,Drug:116,Protein:108,0.0
41,Drug:119,Protein:111,1.0
42,Drug:14,Protein:114,1.0
43,Drug:122,Protein:115,1.0
44,Drug:123,Protein:116,1.0
45,Drug:124,Protein:77,1.0
46,Drug:127,Protein:120,0.0
47,Drug:128,Protein:121,0.0
48,Drug:130,Protein:123,1.0
49,Drug:140,Protein:132,1.0
50,Drug:143,Protein:134,0.0
51,Drug:144,Protein:135,0.0
52,Drug:155,Protein:106,1.0
53,Drug:157,Protein:146,0.0
54,Drug:72,Protein:147,1.0
55,Drug:159,Protein:148,1.0
56,Drug:160,Protein:149,1.0
57,Drug:165,Protein:153,0.0
