Drug:0 CC1=CN=C2N1C=CN=C2NCC1=CC=NC=C1
Drug:1 C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
Drug:2 [H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC
Drug:3 COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
Drug:4 [H][C@@](C)(NC1=CC2=C(C=N1)C(C)=NN2C1=CC=CC(CCC(N)=O)=C1)C1=CC=CC=C1
Drug:5 [H][C@]1(NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2)C(C)C
Drug:6 [H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Drug:7 NCCCCCC(O)=O
Drug:8 FC(F)OC(F)(F)C(F)Cl
Drug:9 [H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
Drug:10 CNC1(CCCCC1=O)C1=CC=CC=C1Cl
Drug:11 [H][C@@]1(CC(N)=O)CCCC2=C1C1=C(S2)N=C(NC1=O)C(=O)NCC1=CC=C2OCC(=O)NC2=C1
Drug:12 CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
Drug:13 CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC
Drug:14 CC1=CC(=O)C2=CC=CC=C2C1=O
Drug:15 CN\C(NCC1=CC=CC=C1)=N/C
Drug:16 [H][C@@](CO)(N=C(O)CCN=C(O)CBr)C(O)=NCCC1=CC=C(C=C1)N=C(O)C(O)=O
Drug:17 [H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(Cl)[NH+]=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:18 CCOC(=O)N1C=CN(C)C1=S
Drug:19 [H][C@@](CC1=CC=CC=C1)(N=C(O)CCC(O)=O)C(O)=N[C@@]([H])(CC1=CC(C(O)=O)=C(OCC(O)=O)C=C1)C(O)=NCCCCC
Drug:20 CCCC[Sn](CCCC)CCCC
Drug:21 C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@H]1CC[C@](CC1)(C#N)C1=CC=C(F)C=C1
Drug:22 [H][C@@](C)(\N=C\C1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O
Drug:23 COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
Drug:24 CN1CCN(CC1)C1=C(C\N=N/C(N)=S)C=CC=C1
Drug:25 [H]N1C=C(C2=CC=CC=C12)C1=C(C(=O)N([H])C1=O)C1=CN(CC[C@@H]2CCCN2C)C2=CC=CC=C12
Drug:26 CC(C)C1=CN\C(S1)=N\C(=O)CC1=CC=CN=C1
Drug:27 CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
Drug:28 [H][C@]1(O)C[C@]([H])(CC[C@]1([H])C1=CC=C(C=C1)C(=O)NCCCC(O)=O)C1=CC=CC=C1
Drug:29 CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
Drug:30 CCC1=CC=C(NS(=O)(=O)C2=CC=C(F)C=C2)C(C(O)=O)=C1C
Drug:31 [H]\C(=C(\N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O)C1=CC(C=O)=C(CC(O)=O)C=C1
Drug:32 [H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@@H](CSC)CN2CCC
Drug:33 [H][C@](O)(CCCCC)\C=C\C=C/CCCCCCCC(O)=O
Drug:34 [H]\C(CC\C(C)=C(/[H])CSP(O)(=O)OP(O)(O)=O)=C(\C)CCC=C(C)C
Drug:35 CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
Drug:36 CCOC1=CC(=CC=C1)C1=CC=C(NC(=O)C(\C#N)=C(\C)O)C=C1
Drug:37 CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
Drug:38 [H]\C1=C(\[H])/C(/[H])=C([H])\[C@@]([H])(C)CC[C@]2([H])C[C@]([H])(C[C@@](O)(O2)[C@]2([H])CSC(O)=N2)OC(=O)\C([H])=C(C)/CC1
Drug:39 NC(=O)C1=NN(C2=C1C=CC1=C2C=NN1)C1=CC=C(C=C1)S(N)(=O)=O
Drug:40 OC(=O)CC1=CC(OCCCN(CC(C2=CC=CC=C2)C2=CC=CC=C2)CC2=C(Cl)C(=CC=C2)C(F)(F)F)=CC=C1
Drug:41 CCC(=O)CCC(C)(C)O
Drug:42 CC(C)N1C(C)=NC=C1C1=NC(NC2=CC=C(C=C2)N2CCN(CC2)C(=O)CO)=NC=C1
Drug:43 [H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
Drug:44 CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1
Drug:45 CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
Drug:46 NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
Drug:47 O=CCCCC1CCNCC1
Drug:48 CN1C=NC(C[C@H](N)C(O)=O)=C1
Drug:49 CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
Drug:50 OCC1=CC=C(Br)C=C1
Drug:51 NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O
Drug:52 NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Drug:53 [H][C@@]1(CCCCC=O)SC[C@]2([H])NC(=O)N[C@]12[H]
Drug:54 C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
Drug:55 NC[C@H](O)C1=CC(O)=C(O)C=C1
Drug:56 CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
Drug:57 FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2
Drug:58 CC1=CC=C(NS(=O)(=O)C2=CC=CC=C2)C(=C1)C(O)=O
Drug:59 [H][C@](N)(CC(=O)N1CCC[C@@]1([H])CNC(=O)C1=CC=CC=C1)CC1=C(F)C=CC=C1
Drug:60 [H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(SC)[C@]([H])(O)[C@@]1([H])O
Drug:61 FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1
Drug:62 CC1=CC(C)=[N+](CCC2=CC=C(C=C2)S(N)(=O)=O)C(C)=C1
Drug:63 [H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
Drug:64 [H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OCCCCCCCC
Drug:65 NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
Drug:66 N[C@@H](CSCC(N)=O)C(O)=O
Drug:67 CCOC(=O)C1=C(C)N(N=C1C)C1=CC(=CC=C1)[N+]([O-])=O
Drug:68 CC1=C(SCCO1)C(=O)NC1=CC=CC=C1
Drug:69 OCC1=C2N=C(C=C(NCC3=CN=CC=C3)N2N=C1)C1=CC=CC=C1
Drug:70 [H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
Drug:71 CC(C)C[C@H](N)C(O)=O
Drug:72 CN(C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12
Drug:73 [H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Drug:74 [H][P@@](=O)(CCCCCCCCCCC)OCCCC
Drug:75 ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
Drug:76 CNC[C@H](O)C1=CC(O)=C(O)C=C1
Drug:77 COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2
Drug:78 NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
Drug:79 CN(C1=CC(Cl)=CC=C1)S(=O)(=O)C1=CC2=C(CC3=C(C)C(C)=C(C)N3)C(=O)N=C2C=C1
Drug:80 CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1
Drug:81 CC1=NN=C(N1)C1=CC=CC=C1NC1=NC=NC2=C1C=CN2
Drug:82 CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1
Drug:83 CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12
Drug:84 C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1C1=CC2=C(NC(=O)C=C2C(F)(F)F)C=C1
Drug:85 CC1=CC=CC=C1C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCC[C@@H](O)C2=C1C=CC(Cl)=C2
Drug:86 [H][C@@](CC)(CO)NC1=NC2=C(C=NN2C(NCC2=CC=CC=C2)=N1)C(C)C
Drug:87 CC1=NC2=C(CSCC2)C(=O)N1
Drug:88 NC(=N)C1=CC2=C(C=C1)N=C(N2)C(O)(O)C1=NC2=C(N1)C=C(C=C2)C([NH3+])=[NH2+]
Drug:89 OC(=O)CCCOC1=CC=C(NC(=O)NC(=O)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1
Drug:90 CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12
Drug:91 [H][C@]1(CO)O[C@@]([H])(N2C=CC(=N)N=C2O)[C@]([H])(O)[C@]1([H])OP(O)(O)=O
Drug:92 [H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C(O)=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C(Br)=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O
Drug:93 [H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12
Drug:94 [H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(NCC2=CC=C(C=C2)C2=CC=CC=N2)=N1
Drug:95 FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
Drug:96 CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
