,head,tail,label
0,Drug:0,Protein:0,0.0
1,Drug:1,Protein:1,1.0
2,Drug:2,Protein:2,0.0
3,Drug:4,Protein:4,0.0
4,Drug:6,Protein:6,0.0
5,Drug:7,Protein:7,0.0
6,Drug:8,Protein:8,1.0
7,Drug:10,Protein:10,1.0
8,Drug:11,Protein:11,1.0
9,Drug:12,Protein:12,0.0
10,Drug:13,Protein:13,1.0
11,Drug:14,Protein:14,1.0
12,Drug:15,Protein:15,0.0
13,Drug:16,Protein:16,0.0
14,Drug:17,Protein:17,1.0
15,Drug:18,Protein:18,1.0
16,Drug:20,Protein:20,0.0
17,Drug:21,Protein:21,0.0
18,Drug:22,Protein:22,0.0
19,Drug:23,Protein:23,1.0
20,Drug:24,Protein:24,1.0
21,Drug:25,Protein:25,0.0
22,Drug:26,Protein:26,0.0
23,Drug:27,Protein:27,1.0
24,Drug:28,Protein:28,0.0
25,Drug:29,Protein:29,1.0
26,Drug:30,Protein:30,0.0
27,Drug:31,Protein:31,0.0
28,Drug:32,Protein:32,1.0
29,Drug:33,Protein:33,0.0
30,Drug:35,Protein:35,1.0
31,Drug:36,Protein:36,1.0
32,Drug:37,Protein:37,1.0
33,Drug:38,Protein:38,1.0
34,Drug:39,Protein:39,0.0
35,Drug:40,Protein:40,0.0
36,Drug:42,Protein:42,0.0
37,Drug:43,Protein:43,0.0
38,Drug:44,Protein:14,1.0
39,Drug:45,Protein:44,0.0
40,Drug:46,Protein:45,0.0
41,Drug:47,Protein:22,0.0
42,Drug:48,Protein:46,0.0
43,Drug:49,Protein:14,1.0
44,Drug:50,Protein:47,0.0
45,Drug:52,Protein:49,1.0
46,Drug:53,Protein:50,0.0
47,Drug:54,Protein:51,0.0
48,Drug:55,Protein:52,1.0
49,Drug:56,Protein:53,0.0
50,Drug:57,Protein:55,1.0
51,Drug:59,Protein:57,0.0
52,Drug:60,Protein:58,1.0
53,Drug:61,Protein:27,1.0
54,Drug:62,Protein:59,0.0
55,Drug:63,Protein:60,1.0
56,Drug:64,Protein:61,0.0
57,Drug:66,Protein:63,0.0
58,Drug:67,Protein:64,1.0
59,Drug:68,Protein:65,0.0
60,Drug:69,Protein:66,0.0
61,Drug:71,Protein:68,1.0
62,Drug:73,Protein:70,0.0
63,Drug:74,Protein:71,0.0
64,Drug:76,Protein:29,1.0
65,Drug:77,Protein:72,1.0
66,Drug:78,Protein:73,1.0
67,Drug:80,Protein:74,1.0
68,Drug:81,Protein:75,0.0
69,Drug:82,Protein:76,1.0
70,Drug:84,Protein:78,0.0
71,Drug:85,Protein:79,0.0
72,Drug:86,Protein:80,1.0
73,Drug:87,Protein:81,0.0
74,Drug:88,Protein:82,0.0
75,Drug:89,Protein:83,0.0
76,Drug:90,Protein:84,1.0
77,Drug:91,Protein:85,0.0
78,Drug:93,Protein:87,1.0
79,Drug:94,Protein:88,0.0
80,Drug:95,Protein:60,1.0
81,Drug:96,Protein:29,1.0
82,Drug:98,Protein:90,1.0
83,Drug:99,Protein:91,0.0
84,Drug:100,Protein:92,1.0
85,Drug:101,Protein:14,1.0
86,Drug:102,Protein:28,0.0
87,Drug:103,Protein:93,0.0
88,Drug:106,Protein:96,1.0
89,Drug:107,Protein:97,0.0
90,Drug:108,Protein:98,0.0
91,Drug:109,Protein:99,1.0
92,Drug:111,Protein:101,0.0
93,Drug:112,Protein:51,1.0
94,Drug:113,Protein:102,0.0
95,Drug:114,Protein:103,0.0
96,Drug:115,Protein:104,1.0
97,Drug:44,Protein:72,1.0
98,Drug:107,Protein:105,1.0
99,Drug:103,Protein:106,1.0
100,Drug:55,Protein:107,0.0
101,Drug:117,Protein:109,0.0
102,Drug:119,Protein:111,1.0
103,Drug:120,Protein:112,1.0
104,Drug:121,Protein:113,0.0
105,Drug:14,Protein:114,1.0
106,Drug:122,Protein:115,1.0
107,Drug:125,Protein:117,0.0
108,Drug:126,Protein:118,1.0
109,Drug:127,Protein:120,0.0
110,Drug:128,Protein:121,0.0
111,Drug:129,Protein:122,1.0
112,Drug:130,Protein:123,1.0
113,Drug:131,Protein:124,0.0
114,Drug:133,Protein:126,0.0
115,Drug:134,Protein:127,0.0
116,Drug:135,Protein:128,1.0
117,Drug:136,Protein:129,0.0
