head,relation,tail,label
Durg::172,drug_target_interaction,Protein::206,1.0
Durg::637,drug_target_interaction,Protein::495,1.0
Durg::580,drug_target_interaction,Protein::206,1.0
Durg::0,drug_target_interaction,Protein::75,1.0
Durg::543,drug_target_interaction,Protein::430,1.0
Durg::486,drug_target_interaction,Protein::817,1.0
Durg::400,drug_target_interaction,Protein::435,1.0
Durg::633,drug_target_interaction,Protein::459,1.0
Durg::329,drug_target_interaction,Protein::221,1.0
Durg::228,drug_target_interaction,Protein::49,1.0
Durg::655,drug_target_interaction,Protein::922,1.0
Durg::499,drug_target_interaction,Protein::1152,1.0
Durg::596,drug_target_interaction,Protein::460,1.0
Durg::48,drug_target_interaction,Protein::164,1.0
Durg::475,drug_target_interaction,Protein::394,1.0
Durg::48,drug_target_interaction,Protein::368,1.0
Durg::462,drug_target_interaction,Protein::288,1.0
Durg::624,drug_target_interaction,Protein::328,1.0
Durg::151,drug_target_interaction,Protein::472,1.0
Durg::330,drug_target_interaction,Protein::322,1.0
Durg::423,drug_target_interaction,Protein::1166,1.0
Durg::448,drug_target_interaction,Protein::256,1.0
Durg::507,drug_target_interaction,Protein::922,1.0
Durg::637,drug_target_interaction,Protein::85,1.0
Durg::423,drug_target_interaction,Protein::989,1.0
Durg::623,drug_target_interaction,Protein::452,1.0
Durg::444,drug_target_interaction,Protein::164,1.0
Durg::393,drug_target_interaction,Protein::243,1.0
Durg::590,drug_target_interaction,Protein::290,1.0
Durg::367,drug_target_interaction,Protein::460,1.0
Durg::423,drug_target_interaction,Protein::302,1.0
Durg::668,drug_target_interaction,Protein::989,1.0
Durg::96,drug_target_interaction,Protein::358,1.0
Durg::624,drug_target_interaction,Protein::256,1.0
Durg::637,drug_target_interaction,Protein::18,1.0
Durg::316,drug_target_interaction,Protein::374,1.0
Durg::669,drug_target_interaction,Protein::924,1.0
Durg::340,drug_target_interaction,Protein::12,1.0
Durg::310,drug_target_interaction,Protein::988,1.0
Durg::306,drug_target_interaction,Protein::1168,1.0
Durg::396,drug_target_interaction,Protein::989,1.0
Durg::183,drug_target_interaction,Protein::989,1.0
Durg::110,drug_target_interaction,Protein::273,1.0
Durg::347,drug_target_interaction,Protein::460,1.0
Durg::678,drug_target_interaction,Protein::435,1.0
