drug_id,smiles
Durg::0,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
Durg::1,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
Durg::2,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
Durg::3,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
Durg::4,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
Durg::5,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
Durg::6,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
Durg::7,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
Durg::8,NCC(CC(=O)O)c1ccc(Cl)cc1
Durg::9,CC(N)Cc1ccccc1
Durg::10,CN1CCC[C@H]1c1cccnc1
Durg::11,CC1O[C@@]2(CS1)CN1CCC2CC1
Durg::12,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
Durg::13,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
Durg::14,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
Durg::15,CC(C)(N)Cc1ccccc1
Durg::16,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
Durg::17,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
Durg::18,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
Durg::19,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
Durg::20,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
