Drug:4171 CN(C)CCOC1=CC=CC=C1CC1=CC=CC=C1
Drug:4142 C1=CC(=C(C=C1O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
Drug:6084 C1=C(NC=N1)CCN
Drug:5417 CC(C)C[C@@H](N=C(N)N)C(=O)NCC(=O)N1CCC(CC1)C1=CC(=NN1C)C1=C(Cl)C(Cl)=C(OCC2=CC=C(NC(C)=O)C=C2)C=C1
Drug:6221 CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
Drug:189 CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O
Drug:186 [H]/C(=C(/[H])\C(\C)=C(/[H])C(O)=O)/C(/[H])=C(\C)/C(/[H])=C(\[H])C1=C(C)C=C(O)C(C)=C1C
Drug:4776 CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
Drug:6001 N[C@H](CC(O)=O)C(O)=O
Drug:4940 OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1
Drug:5061 COC1=CC(NC2=NC=C(F)C(NC3=CC=C4OC(C)(C)C(=O)NC4=N3)=N2)=CC(OC)=C1OC
Drug:6441 CC(C)C1=C(CC2=CC=CC=C2)N(COCC2=CC=CC=C2)C(=O)NC1=O
Drug:4122 C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F
Drug:3069 NCC1=CC(=O)NO1
Drug:2531 CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
Drug:5549 CSCC[C@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
Drug:1485 [H][C@]1(C)O[C@]([H])(C[C@]1([H])OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Drug:2726 CCCCCCC(C)(C)C1=CC(O)=C2[C@H]3CC(CO)=CC[C@@H]3C(C)(C)OC2=C1
Drug:2051 C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
Drug:1090 O=C(N1CCN(CC1)C1C2=CC=CC=C2C2=CC=CC=C12)C1=CC2=C(NC=C2)C=C1
Drug:6492 COCCNS(=O)(=O)C1=CC=C(NC2=NC(=CC=N2)C2=CN=C(C)N2C(C)C)C=C1
Drug:657 [H][C@@](C)(NC1=NC=CC(=N1)N(C(=O)NC1=CC=CC=C1Cl)C1=CC=C(OC)C=C1)C(C)(C)O
Drug:390 [H][C@@]1(O)CCN2C(=O)N(C(=O)[C@]12[H])C1=CC=C(C#N)C2=CC=CC=C12
Drug:4186 CCCS(=O)(=O)NC1=C(F)C(C(=O)C2=CNC3=NC=C(Cl)C=C23)=C(F)C=C1
Drug:1146 COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C
Drug:190 C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O)O)O)O
Drug:2773 C1=CC=C(C=C1)CCN=C=S
Drug:4734 NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Drug:4538 [H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC
Drug:4592 [H][C@](O)(C\C=C/CCCCC)\C=C\CC(=O)CCCCC(O)=O
Drug:2687 CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1
Drug:2028 CCC(C)(OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(OC(C)(CC)C(O)=O)C=C1)C(O)=O
Drug:3571 CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
Drug:706 [H]N([H])C(=NCCCCN([H])C(=O)[C@@H]1C[C@]2([H])CC[C@H](C[C@]2([H])N1C(=O)[C@H](N([H])C(=O)[C@H](O)CC1=CC=C(O)C=C1)[C@H](C)CC)OS(O)(=O)=O)N([H])[H]
Drug:3672 CNCCC(Oc1ccccc1OC)c1ccccc1
Drug:5297 CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OCC
Drug:3423 [H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C
Drug:404 C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O
Drug:6380 OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
Drug:2801 C1=C(C=C(C(=C1O)O)O)C(=O)O
Drug:3639 N[C@H](CCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O)C(O)=O
Drug:1136 [H][C@@](O)(CO)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O
Drug:2181 [H][C@@](CCCC)(NC(=O)OC1(CC2=CC=CC=C2)CCCC1)C=O
Drug:1303 CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O
Drug:2917 CN(CC(O)=O)C(N)N
Drug:3367 CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
Drug:432 [H][C@]1(CO)O[C@@]([H])(C2=NC3=C(N2)C=C(C)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
Drug:4079 ClC1=CN=C(NS(=O)(=O)C2=C(NC(=O)C3=CC=C(C=C3)N3C=CC=CC3=O)C=CC=C2)C=C1
Drug:4371 [H][C@]1(COS(=O)(=O)NCC)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:3242 CCC(NC(=O)C1=C(O)C(=NC2=CC=CC=C12)C1=CC=CC=C1)C1=CC=CC=C1
Drug:6140 O=N(=O)C1=CC2=NNC=C2C=C1
Drug:4931 OC(=O)CCN1C(=S)S\C(=C/c2ccc(o2)-c2ccc(Cl)cc2)C1=O
Drug:5586 [H][C@]12C(=O)N(C(=O)[C@@]1([H])[C@]1([H])CC[C@@]2([H])CC1)C1=CC=C(C2=CC=CC=C12)[N+]([O-])=O
Drug:6039 OC(=O)CCCNC(=O)NC1CCCCC1
Drug:2664 NCCC1=CC=NN1
Drug:2972 ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
Drug:6766 CNC(=NC)NCCC[C@@H](C(=O)O)N
Drug:6583 CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
Drug:6098 FC1=C(C=CC=C1)C1=CC(=CC=N1)C1=CC2=C(CCNC2=O)N1
Drug:5187 N[C@@H](CCCN\C(N)=[NH+]\CC=C)C(O)=O
Drug:5975 NC1=NC=CC(OC2=C(F)C=C(NC(=O)NC(=O)CC3=CC=C(F)C=C3)C=C2)=C1
Drug:3143 O=C(N[C@H]1C2CCN(CC2)[C@H]1Cc1cccnc1)c1cc2ccccc2o1
Drug:4112 [H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
Drug:927 [H][C@@](C)(NP(=O)(N[C@@]([H])(C)C(=O)OCC)C1=CC=C(O1)C1=C(CC(C)C)SC(=N)N1)C(=O)OCC
Drug:5255 C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
Drug:902 NCC1=CC=C(NC(=O)C2=CC(NC3=NC=CC=N3)=C3C=C(C=CC3=C2)C(N)=N)C=C1
Drug:6479 CC(C)NC1=CC(Cl)=NC2=C(C=NN12)C#N
Drug:2566 COC1=CC(=CC(OC)=C1O)\N=N\C1=CC=CC=C1C(O)=O
Drug:2996 OC(=O)C1=C(O)C=C2C=CC(O)=CC2=C1
Drug:2498 C[C@@H]1CN(C2=NC(=CC=C2C(=O)NS(=O)(=O)C2=CN(C)N=C2C)N2C=CC(OCC(C)(C)C(F)(F)F)=N2)C(C)(C)C1
Drug:6507 CCCCCCCCC(O)(P(O)(O)=O)P(O)(O)=O
Drug:2240 OC[C@H]1N[C@H]([C@H](O)[C@@H]1O)C1=CNC2=C1N=CNC2=O
Drug:3533 COCCOCCOC
Drug:730 [Gd+3].CC([O-])=O.CC([O-])=O.CCC1=C(CC)/C2=C/C3=N/C(=C\N=C4/C=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C/C/4=N\C=C4/N=C(/C=C\1\[N-]\2)C(CCCO)=C4C)/C(C)=C3CCCO
Drug:2772 COC1=CC(O)=C(C=C1CC=C(C)C)C(=O)\C=C\C1=CC=C(O)C=C1
Drug:3178 C[C@H]([C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CC3=CNC=N3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]6CCCN6C(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H]7CCCN7C(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]8CCCN8C(=O)[C@H](CCCCN)NC(=O)[C@H](C)N)O
Drug:5766 C1=CC=C(C=C1)CCN
Drug:5185 CC1=NC(=NN1C1=CC(Cl)=CC(Cl)=C1)C(O)=O
Drug:2728 O[C@H](COP(O)(O)=O)C(O)=O
Drug:4607 [H][C@@]1(O)O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])F
Drug:3465 C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O)O
Drug:5052 CCc1c2Cn3c(cc4c(COC(=O)[C@]4(O)CC)c3=O)-c2nc2ccc(O)cc12
Drug:2725 [H]\C(CC)=C(/[H])C1=C(O)C=C2CC[C@@]3([H])[C@]4([H])CC[C@]([H])(O)[C@@]4(C)CC[C@]3([H])C2=C1
Drug:193 N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12
Drug:1985 [H][C@]1(C[C@]2(ON1)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)C1=CC2=CC=CC=C2C=C1
Drug:718 [H][C@@]1(C[C@]([H])(OC(=O)C2=CC=CC=C2NC)[C@@]([H])(COP(O)(=O)OP(O)(O)=O)O1)N1C=NC2=C(N)N=CN=C12
Drug:5251 [H][C@]12C3=CC=CC=C3[C@H](N3CCN(C[C@@H](O)COC4=CC=CC5=C4C=CC=N5)CC3)C3=CC=CC=C3[C@@]1([H])C2(F)F
Drug:3754 [H][C@](CC)(C(O)=O)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O
Drug:407 [H][C@@]1(C)CN(CCN1S(=O)(=O)C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)[N+]([O-])=O
Drug:5946 NC(=[NH2+])C1=CC2=C(C=C1)N=C(N2)C1=CC=CC=C1O
Drug:696 CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(=C1)S(=O)(=O)NC(C)(C)C
Drug:2758 CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@@]3([H])[C@@](C)([C@@H](O)C[C@@]4([H])OC[C@@]34OC(=O)C)C(=O)[C@H](OC(=O)C)C(=C1C)C2(C)C)[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1
Drug:6116 C[C@H]1N(CCCNC1=O)C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F
Drug:751 [H][C@]1(CO)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@@]1([H])O
Drug:4275 CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
Drug:6031 OP(=O)(O)[O-].[Na+]
Drug:5172 CC1(C)CCC(C)(C)c2cc(ccc12)[C@H](O)c1ccc2cc(ccc2c1)C(O)=O
Drug:615 CC(=O)N[C@H](CC1=CC=C(Cl)C=C1)[B-](O)(O)OC[C@H](N)C(O)=O
Drug:3253 CON[C@H]1C[C@@H](N(C1)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO
Drug:5451 [Cl-].[Cl-].[Sn+4].CCC1=C2[N-]C(\C=C3/N=C(/C=C4\[N-]\C(=C/C5=N/C(=C\2)/C(C)=C5CC)C(C)=C4CCC(O)=O)C(CCC(O)=O)=C3C)=C1C
Drug:783 [O-]P([O-])(=O)CS
Drug:2298 CCC[C@@H](C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC
Drug:36 [H][C@]1(O)C(=O)O[C@]([H])(CO)[C@]([H])(O)[C@]1([H])O
Drug:6409 CC1=C(CCO[P@](O)(=O)O[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N
Drug:2329 NC(CO\C(O)=N\CCNC1=C(NCCCN2CCN(CCC\N=C(/O)C3=CC(=CC(OC4OC(CO)C(O)C(O)C4O)=C3)[N+]([O-])=O)CC2)C(=O)C1=O)CO\C(O)=N\CCNC1=C(NCCCN2CCN(CCC\N=C(/O)C3=CC(=CC(O[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)=C3)[N+]([O-])=O)CC2)C(=O)C1=O
Drug:4651 OC[C@H]1O[C@H](O)[C@@H](F)[C@@H](O)[C@@H]1O
Drug:4161 CO\C=C(\C(=O)OC)C1=C(\C=C\C2=CC=CC=C2)C=CC=C1
Drug:3286 [H][C@](N)(CC1CCCCC1)[C@@]([H])(O)C[C@@]([H])(C(C)C)C(O)=O
Drug:5664 CN(C)C(=O)C1=CC(=CC(NC(=O)C2=CC=C(C)C=C2)=C1)C1=CC=C(C=C1)C(=O)NO
