ID,Database,SMILES,Article_DOI,Affinity(kcal/mol)
DB15457,DrugBank,CNc1ccc(-c2nc3ccc([18F])cc3s2)cc1,,-6.577
DB15161,DrugBank,[11CH3]Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,,-6.45
DB09151,DrugBank,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1[18F],10.3233/JAD-150732,-6.737
CNP0337435,COCONUT,CN(C)c1ccc(C=C2NC(=S)N(c3ccccc3)C2=O)cc1,,-7.067
DB09148,DrugBank,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])cc2)cc1,10.1021/jm201400q,-6.197
CNP0357537,COCONUT,CN(C)c1ccc(C=C2C(=O)Nc3ccccc32)cc1,,-7.037
CNP0466830,COCONUT,N#Cc1cc([NH+]([O-])O)ccc1C=Cc1ccccc1,,-7.247
DB15058,DrugBank,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,10.1021/ml300058m,-6.726
DB09149,DrugBank,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1,10.1016/j.bmc.2013.04.028,-6.571
CNP0209100,COCONUT,CN(C)c1ccc(C=C(C#N)C#N)cc1,,-5.418
CNP0082241,COCONUT,N#Cc1ccc(C#N)s1,,-4.297
CNP0083053,COCONUT,C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1,,-6.422
CNP0293421,COCONUT,CN(C)c1ccc(C=C2C(=O)c3ccccc3C2=O)cc1,,-6.751
CHEMBL93124,ChEMBL,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,10.1021/jm700970s,-6.447
CHEMBL227521,ChEMBL,CNc1ccc(C#Cc2ccc(OCCOCCF)cc2)cc1,10.1021/jm070090j,-6.396
CHEMBL566709,ChEMBL,CNc1ccc(/C=C/c2ccc(OCCCCF)cc2)cc1,10.1021/jm901039z,-6.632
CHEMBL224096,ChEMBL,CN(C)c1ccc(C#Cc2ccc(OCCOCCOCCF)cc2)cc1,10.1021/jm070090j,-6.288
CHEMBL227495,ChEMBL,CNc1ccc(C#Cc2ccc(OCCOCCOCCF)cc2)cc1,10.1021/jm070090j,-6.437
CHEMBL227576,ChEMBL,CN(C)c1ccc(C#Cc2ccc(OCCOCCF)cc2)cc1,10.1021/jm070090j,-6.12
CHEMBL503833,ChEMBL,CNc1ccc(-c2nc3cc(O)ccc3s2)cc1,10.1016/j.ejmech.2008.09.038,-6.587
CHEMBL3629739,ChEMBL,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(COC3)[C@@H]1COc1c(F)ccc(F)c12,,-7.202
CHEMBL242130,ChEMBL,CNc1ccc(-c2nc3ccc(-c4nc5ccc(Cl)cc5s4)cc3s2)cc1,10.1016/j.bmc.2006.11.022,-8.447
CHEMBL2048304,ChEMBL,CNc1ccc(-c2nc3ccc(O)cc3s2)nc1F,10.1016/j.bmcl.2012.05.011,-6.692
CHEMBL3593932,ChEMBL,O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1,10.1021/acs.jmedchem.5b00571,-7.52
CHEMBL1082546,ChEMBL,CNc1ccc(-c2nc3cc(O)ccc3s2)cn1,10.1016/j.bmcl.2010.01.105,-6.593
CHEMBL240285,ChEMBL,CCC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,10.1016/j.bmcl.2007.08.013,-6.511
CHEMBL2048306,ChEMBL,CNc1ccc(-c2nc3ccc(O)cc3s2)c(F)n1,10.1016/j.bmcl.2012.05.011,-6.5
CHEMBL2042123,ChEMBL,CNc1ccc(-c2nc3ccc(O)cc3s2)c([18F])n1,10.1021/jm2009106,-6.495
CHEMBL227751,ChEMBL,Oc1ccc(C#Cc2ccc(OCCOCCOCCF)cc2)cc1,10.1021/jm070090j,-6.444
CHEMBL578982,ChEMBL,CNc1ccc2nc(-c3ccc(F)cc3)sc2c1,10.1021/jm900871v,-6.701
CHEMBL1774642,ChEMBL,CNc1ccc(-c2nc3ccc(F)cc3s2)cc1,10.1016/j.bmc.2011.03.029,-6.572
CHEMBL3593911,ChEMBL,CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,10.1021/acs.jmedchem.5b00571,-7.757
DB00746,DrugBank,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,10.1196/annals.1332.003,-10.399
CHEMBL570378,ChEMBL,CNc1ccc(-c2nc3ccc(O)cc3s2)cn1,10.1021/acs.jnatprod.6b00643,-6.616
CHEMBL228033,ChEMBL,CNc1ccc(C#Cc2ccc(O)cc2)cc1,10.1021/jm070090j,-6.52
CHEMBL328660,ChEMBL,CNc1ccc(-c2nc3ccc(Br)cc3s2)cc1,10.1021/jm030026b,-6.537
CHEMBL3760007,ChEMBL,CN(C)c1ccc(OCc2ccc(OCCF)cc2)cc1,10.1016/j.ejmech.2015.09.028,-6.115
CHEMBL92802,ChEMBL,CNc1ccc(-c2nc3ccc(C#N)cc3s2)cc1,10.1021/jm030026b,-6.762
CHEMBL3593933,ChEMBL,O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1,10.1021/acs.jmedchem.5b00571,-7.721
CHEMBL328430,ChEMBL,COc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1,10.1021/jm030026b,-6.799
DB06782,DrugBank,OCC(S)CS,10.1196/annals.1332.003,-2.878
CHEMBL3961972,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1cccnc1,,-8.081
CHEMBL389671,ChEMBL,CN(C)c1ccc(C#Cc2ccc(OCCOCCO)cc2)cc1,10.1021/jm070090j,-6.352
CHEMBL231915,ChEMBL,CN(C)c1ccc(C#Cc2cnc(OCCOCCOCCF)c(I)c2)cc1,10.1016/j.bmcl.2007.04.062,-5.968
CHEMBL373236,ChEMBL,CNc1ccc(/C=C/c2ccc(OCC(CO)CF)cc2)cc1,10.1021/jm050166g,-6.874
CHEMBL3943313,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)CCn1cccn1,,-7.206
CHEMBL398059,ChEMBL,CN(C)c1ccc(C#Cc2cnc(OCCOCCOCCF)c(Br)c2)cc1,10.1016/j.bmcl.2007.04.062,-5.737
DB02235,DrugBank,C[S@@](=O)CC[C@H](N)C(O)=O,10.1093/nar/28.1.235,-4.182
CHEMBL3593903,ChEMBL,CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1,10.1021/acs.jmedchem.5b00571,-7.746
CHEMBL373663,ChEMBL,Nc1ccc(C#Cc2ccc(OCCOCCF)cc2)cc1,10.1021/jm070090j,-6.374
CHEMBL92801,ChEMBL,CN(C)c1ccc(-c2nc3ccc(C#N)cc3s2)cc1,10.1021/jm030026b,-6.926
CHEMBL228034,ChEMBL,COc1ccc(C#Cc2ccc(O)cc2)cc1,10.1021/jm070090j,-6.543
CHEMBL3948649,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cccnn1,,-7.738
CHEMBL3934479,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ccccn1,,-7.679
CHEMBL566723,ChEMBL,CNc1ccc(/C=C/c2ccc(OCCCCCCF)cc2)cc1,10.1021/jm901039z,-6.388
CHEMBL226610,ChEMBL,Nc1ccc(C#Cc2ccc(OCCOCCOCCF)cc2)cc1,10.1021/jm070090j,-6.344
CHEMBL196389,ChEMBL,CN(C)c1ccc(/C=C/c2ccc(OCC(CO)CF)cc2)cc1,10.1021/jm050166g,-6.974
CHEMBL3593926,ChEMBL,COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,10.1021/acs.jmedchem.5b00571,-7.836
CHEMBL2407623,ChEMBL,CN(C)c1ccc(-c2cnc3ccc(OCCF)cc3n2)cc1,10.1021/ml4000707,-6.676
DB03754,DrugBank,NC(CO)(CO)CO,10.1073/pnas.90.2.567,-3.747
CHEMBL3900140,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccncn1,,-6.975
CHEMBL3667029,ChEMBL,COCOCCCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1,,-6.386
CHEMBL93884,ChEMBL,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,10.1021/jm030026b,-6.703
CHEMBL236189,ChEMBL,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,10.1016/j.bmcl.2007.08.013,-7.221
CHEMBL3758630,ChEMBL,CN(C)c1ccc(COc2ccc(OCCOCCF)cc2)cc1,10.1016/j.ejmech.2015.09.028,-5.643
CHEMBL3935559,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccnnc1,,-7.475
CHEMBL3905561,ChEMBL,COc1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)cn1,,-7.712
CHEMBL231917,ChEMBL,CN(C)c1ccc(C#Cc2cnc(OCCO)c(Br)c2)cc1,10.1016/j.bmcl.2007.04.062,-6.17
CHEMBL240286,ChEMBL,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,10.1016/j.bmcl.2007.08.013,-6.494
CHEMBL3593925,ChEMBL,O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,10.1021/acs.jmedchem.5b00571,-7.845
CHEMBL3904071,ChEMBL,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cnccn1,,-7.477
CHEMBL240070,ChEMBL,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,10.1016/j.bmcl.2007.08.013,-6.723
CHEMBL382407,ChEMBL,CN(C)c1ccc(-c2cn3cc(CCCF)ccc3n2)cc1,10.1016/j.bmcl.2006.02.055,-6.724
CHEMBL227577,ChEMBL,CNc1ccc(C#Cc2ccc(OCCOCCO)cc2)cc1,10.1021/jm070090j,-6.463
DB14517,DrugBank,[Al+3].[O-]P([O-])([O-])=O,10.1016/j.brainres.2006.07.112,
CHEMBL2407622,ChEMBL,CN(C)c1ccc(-c2cnc3cc(OCC[18F])ccc3n2)cc1,10.1021/ml4000707,-6.843
CHEMBL236192,ChEMBL,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCCO)CC1,10.1016/j.bmcl.2007.08.013,-7.065
CHEMBL1926768,ChEMBL,CN(CCF)c1ccc(/C=C\c2nc3ccccc3s2)cc1,10.1016/j.bmc.2011.09.065,-6.401
CHEMBL3593924,ChEMBL,O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,10.1021/acs.jmedchem.5b00571,-7.875
CHEMBL524651,ChEMBL,CNc1ccc(-c2nc3c(O)cccc3s2)cc1,10.1016/j.ejmech.2008.09.038,-6.774
CHEMBL1082545,ChEMBL,COc1ccc2nc(-c3ccc(N(C)C)nc3)sc2c1,10.1016/j.bmcl.2010.01.105,-6.313
CHEMBL3659992,ChEMBL,CCS(=O)(=O)CC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,,-6.319
CHEMBL373548,ChEMBL,Nc1ccc(C#Cc2ccc(O)cc2)cc1,10.1021/jm070090j,-6.311
