ID,Database,SMILES,Article_DOI,Affinity(kcal/mol)
CHEMBL4778909,ChEMBL,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)c1,10.1021/acs.jmedchem.0c00870,-9.037
DB04522,DrugBank,N[C@@H](COP(=O)(O)O)C(=O)O,,-4.781
CHEMBL523573,ChEMBL,COCCN1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,10.1016/j.bmcl.2008.09.090,-8.51
CNP0263057,COCONUT,NC(COP(=O)(O)O)C(=O)O,,-4.804
CHEMBL1614726,ChEMBL,OCCOCCn1ccc2ncnc(Nc3cnc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,10.1021/jm2008634,-8.539
CHEMBL1794063,ChEMBL,O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1,10.1016/j.bmcl.2006.05.090,-9.186
CHEMBL4468464,ChEMBL,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(Cc2ccccc2F)nn1,10.1016/j.bmcl.2018.12.020,-9.976
CHEMBL3416636,ChEMBL,Nc1cnc(C#Cc2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)cn1,10.1073/pnas.0708281105,-7.733
CHEMBL2078705,ChEMBL,CC(C)(O)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,10.1021/jm300185p,-8.5
FDB030462,FooDB,N[C@H](COP(=O)(O)O)C(=O)O,,-4.855
CHEMBL4454948,ChEMBL,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(Cc2cccc(F)c2)nn1,10.1016/j.bmcl.2018.12.020,-9.758
DB02546,DrugBank,O=C(CCCCCCC(=O)Nc1ccccc1)NO,,-6.948
CHEMBL281006,ChEMBL,Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,10.1016/s0960-894x(01)00219-0,-9.856
CHEMBL569166,ChEMBL,O=C(NO)[C@H]1CC(CC(=O)N2CCCC2)CN[C@@H]1C(=O)N1CC=C(c2ccccc2)CC1,10.1016/j.bmcl.2009.07.052,-8.798
DB12847,DrugBank,O=C(CCCCCCC(=O)Nc1cccnc1)NO,,-6.589
CHEMBL585299,ChEMBL,CN1C[C@@H](OC(=O)N2CCCC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,10.1016/j.bmcl.2009.07.052,-8.666
DB01259,DrugBank,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1,10.1038/sj.onc.1207166,-7.16
CHEMBL4759697,ChEMBL,C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCC(=O)NO)nn1,10.1016/j.ejmech.2021.113173,-8.543
CHEMBL246072,ChEMBL,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COCC6CCNCC6)c45)ccc32)c1,10.1016/j.bmcl.2007.01.002,-9.987
CHEMBL585886,ChEMBL,COC(=O)N1C[C@@H](OC(=O)N2CCCC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,10.1016/j.bmcl.2009.07.052,-8.608
CHEMBL4759072,ChEMBL,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,10.1016/j.ejmech.2021.113173,-8.391
CHEMBL1923010,ChEMBL,OCCOCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,10.1021/jm2008634,-8.614
CHEMBL394056,ChEMBL,COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,10.1016/j.bmcl.2007.01.002,-9.363
CHEMBL4794998,ChEMBL,C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,10.1016/j.ejmech.2021.113173,-9.021
CHEMBL2348417,ChEMBL,O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1,10.1016/j.bmc.2013.02.014,-8.08
CHEMBL414220,ChEMBL,C=CCN(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,10.1021/jm0005555,-7.935
CHEMBL3904257,ChEMBL,O=C(/C=C/CN1CCCC1)Nc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cn1,10.1021/acs.jmedchem.6b00883,-9.084
DB12010,DrugBank,COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC,10.1002/prp2.175,-6.686
CHEMBL258313,ChEMBL,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)CCO,10.1016/j.bmcl.2007.11.052,-8.942
CHEMBL604094,ChEMBL,O=C(CCCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)NO,10.1021/jm901453q,-8.446
CHEMBL4563683,ChEMBL,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(Cc2ccc(C)cc2)nn1,10.1016/j.bmcl.2018.12.020,-9.939
CNP0443196,COCONUT,NC(=O)C(Cc1cccnc1)NC(=O)C1CN(C(=O)Nc2ccccc2)CCN1C(=O)NC1CCCCC1,,-9.494
CHEMBL1921813,ChEMBL,COc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,10.1021/jm2008634,-8.511
CHEMBL450396,ChEMBL,O=C(O[C@H]1CN[C@@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,10.1016/j.bmcl.2008.11.023,-9.528
CHEMBL475768,ChEMBL,CS(=O)(=O)CCNCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)o1,10.1016/j.bmcl.2008.12.011,-9.104
DB11652,DrugBank, CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(C)CO4)C=C23)=CC=C1OC1=CC2=NC=NN2C=C1,10.1158/1535-7163.MCT-19-0873,-9.246
CHEMBL2048794,ChEMBL,O=C1NCc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c21,10.1021/jm300185p,-9.128
