Rank,Uniprot_ID,Article_DOI,PDB,Affinity(kcal/mol)
1,O96017,,1gxc,-6.391
2,O60674,10.1021/acs.jmedchem.0c01952,2b7a,-5.453
3,Q9H1R3,,2lv6,-5.789
4,Q9BYT3,,AF-Q9BYT3-F1,-5.264
5,P23458,10.1177/1759720X16687481,3eyg,-5.366
6,Q15569,,AF-Q15569-F1,-5.681
7,Q8TD08,,AF-Q8TD08-F1,-5.414
8,P29597,10.1021/acs.jmedchem.5b01857,3lxn,-5.196
9,Q9H093,,AF-Q9H093-F1,-6.82
10,P31152,,AF-P31152-F1,-5.719
11,Q2M2I8,10.1021/acs.jmedchem.1c00472,4wsq,-6.233
12,Q86V86,,AF-Q86V86-F1,-6.891
13,Q52WX2,,AF-Q52WX2-F1,-5.549
14,P61925,,1cmk,-6.886
15,P57059,,AF-P57059-F1,-5.889
16,Q9H0K1,,AF-Q9H0K1-F1,-5.908
17,Q9UEE5,,7que,-5.895
18,P00918,,12ca,-4.998
19,Q07912,,1cf4,-5.606
20,Q9NSY1,10.1021/acs.jmedchem.1c00472,4w9w,-5.626
21,Q9NWZ3,,2nru,-5.993
22,Q9H4B4,,4b6l,-5.207
23,Q13285,,1yow,-5.536
24,P04792,,2n3j,-5.485
25,P51617,,6bfn,-5.437
26,O14976,10.1021/acs.jmedchem.1c00472,4c57,-6.233
27,Q13164,,2q8y,-5.099
28,P51956,,AF-P51956-F1,-6.406
29,O60760,,1iyh,-5.913
30,P11309,,1xqz,-5.617
31,Q6PHR2,,4wzx,-4.733
32,P09211,,10gs,-6.424
33,O14965,,1mq4,-5.367
34,Q09013,,1wt6,-5.33
35,Q9HBH9,,2ac3,-5.554
36,Q99640,,3p1a,-6.038
37,Q16512,,1cxz,-5.232
38,P52333,10.1021/acs.jmedchem.5b01857,1yvj,-5.523
39,P04798,,4i8v,-6.29
40,O94768,,3lm0,-5.805
41,P16152,,1wma,-6.274
42,Q8NG66,,AF-Q8NG66-F1,-7.085
43,Q8IY84,,AF-Q8IY84-F1,-5.906
44,Q9BXA7,,AF-Q9BXA7-F1,-6.495
45,Q92918,,6cqd,-5.999
46,Q9NQU5,,2c30,-5.012
47,Q9NYY3,,4i5m,-5.405
48,O60285,,AF-O60285-F1,-5.773
49,Q96Q40,,AF-Q96Q40-F1,-6.582
50,P10398,,1wxm,-4.885
