Rank,Uniprot_ID,Article_DOI,PDB,Affinity(kcal/mol)
1,P12314,,3rjd,-6.27
2,O75469,10.1007/s00280-008-0842-3,1ilg,-7.967
3,Q16790,,2hkf,-6.789
4,Q14242,,1g1s,-6.447
5,Q9Y6L6,10.1016/j.ejmech.2015.01.011,8hnb,-7.362
6,P07359,,1gwb,-8.156
7,P10636,10.1016/j.bbcan.2007.10.004,1i8h,-5.698
8,P27816,10.1016/j.bbcan.2007.10.004,AF-P27816-F1,-5.254
9,P33681,,1dr9,-6.327
10,P01130,,1ajj,-5.344
11,Q9NPD5,10.1016/j.ejmech.2015.01.011,8pg0,-9.177
12,P01589,,1z92,-7.06
13,P01876,,1ow0,-6.752
14,P04278,,1d2s,-6.025
15,Q99062,,2d9q,-7.568
16,Q9HC29,10.1021/acs.jmedchem.6b01704,AF-Q9HC29-F1,-7.196
17,P08887,,1n26,-6.623
18,P18564,,4um8,-7.785
19,P08697,,AF-P08697-F1,-6.74
20,F1L7U3,,AF-F1L7U3-F1,-5.984
21,O75015,,1e4j,-7.015
22,Q13509,10.1021/jm400639z,5ij0,-7.451
23,P01189,,4xnh,-8.401
24,P01730,,1cdh,-5.767
25,P55899,,1exu,-8.374
26,P17181,,3s98,-7.472
27,P04054,,3elo,-6.656
28,Q14626,,6o4p,-6.814
29,P05106,10.1021/jm049165z,1jv2,-9.767
30,P14770,,3rez,-7.569
31,P34741,,6ith,-5.488
32,P43652,,5okl,-8.563
33,Q9H4B7,10.1016/j.cellbi.2007.01.004,AF-Q9H4B7-F1,-6.138
34,P08174,,1h03,-7.186
35,P14784,,2b5i,-7.4
36,Q00987,,1rv1,-7.754
37,O15123,,1z3s,-6.667
38,P11137,10.1016/j.bbcan.2007.10.004,AF-P11137-F1,-6.442
39,Q9BUF5,,AF-Q9BUF5-F1,-7.305
40,P40238,,8g04,-7.859
41,P15260,,1fg9,-6.23
42,Q9Y468,,1oz2,-6.913
43,P01861,,1adq,-7.361
44,P10415,10.1158/1078-0432.CCR-06-0147,1g5m,-5.747
45,Q9NZK7,,5wzm,-6.296
46,P08637,,3ay4,-6.977
47,Q15238,,AF-Q15238-F1,-6.507
48,P08048,,1klr,-4.878
49,P19235,,1cn4,-5.929
50,P15391,,6al5,-8.237
